#heatmap
!legendTitle	Butyrate pathway
!showLegends	1
#!defaultStrokeColor	pink
#!defaultStrokeWidth	2
!colorgradient	grey, blue
!colorgradientMarkLabel	0,1
# -- heatmap column labels --
!showHeatMapColumnLabel	1
!heatmapColumnLabels	Thl,Hdb,Cro,Bcd,But,Ptb,Buk
# -- heatmap --
!heatmap	colwidth=100
GCA_000287675	1,1,1,1,1,0,0
GCA_017565785	1,1,1,1,1,0,0
GCA_000512995	1,1,1,1,1,0,0
GCA_000296385	1,1,1,1,1,0,0
GCA_000242315	1,1,1,1,1,0,0
GCA_000209465	1,1,1,1,1,0,0
GCA_900141895	1,1,1,1,1,0,1
GCA_003574295	1,1,1,1,1,0,0
GCA_009718305	0,0,0,1,0,0,0
GCA_015669775	1,1,0,1,0,0,0
GCA_015668255	1,1,0,1,0,0,0
GCA_015670935	0,0,0,1,0,0,0
GCA_001312505	0,0,0,1,0,0,0
GCA_016900155	0,0,0,1,0,0,0
GCA_016902345	0,0,0,1,0,0,0
GCA_016900515	0,0,0,1,0,0,0
GCA_001487105	1,0,0,1,0,0,0
GCA_000218445	0,0,0,1,0,0,0
GCA_000209405	0,0,0,1,0,0,0
GCA_000185545	0,0,0,1,0,0,0
GCA_003584665	1,1,1,1,1,0,0
GCA_014287475	1,1,0,1,0,0,0
GCA_008691045	0,0,0,1,0,0,0
GCA_002160525	0,0,0,1,0,0,0
GCA_002159505	0,0,0,1,0,0,0
GCA_002161355	0,0,0,1,0,0,0
11861_6_59	0,0,0,1,0,0,0
12718_7_86	0,0,0,1,0,0,0
13414_6_30	0,0,0,1,0,0,0
18048_1_60	0,0,0,1,0,0,0
18048_1_83	0,0,0,1,0,0,0
18048_2_60	0,0,0,1,0,0,0
18048_2_83	0,0,0,1,0,0,0
21673_4_25	0,0,0,1,0,0,0
21673_4_8	0,0,0,1,0,0,0
13414_6_31	1,0,0,1,0,0,0
AF04-18B	0,0,0,1,0,0,0
AF12-5	0,0,0,1,0,0,0
AF14-10	1,1,1,1,1,0,0
AF18-22	0,0,0,1,0,0,0
AF19-4LB	1,1,0,1,0,0,0
AF24-16	1,1,0,1,0,0,0
AF25-13	1,0,0,1,0,0,0
AF25-17	1,1,0,1,0,0,0
AF25-3LB	1,1,0,1,0,0,0
AF27-11AA	1,1,0,1,0,0,0
AF27-12AA	1,1,0,1,0,0,0
AF27-3	1,1,0,1,0,0,0
AF31-14BH	1,1,0,1,0,0,0
AF32-2AC	1,1,0,1,0,0,0
AM09-18-1	0,0,0,1,0,0,0
AM09-20-2	0,0,0,1,0,0,0
AM09-9	0,0,0,1,0,0,0
AM100_B1_31A	0,0,0,1,0,0,0
AM100_B33A	1,1,0,1,0,0,0
BF3HA19002B	0,1,0,1,0,0,0
GF3HA19001	0,0,0,1,0,0,0
SF3HA21011B	1,1,0,1,0,0,0
AM16-34	0,0,0,1,0,0,0
AM22-14LB	0,0,0,1,0,0,0
AM22-16	0,0,0,1,0,0,0
AM25-13AC	0,0,0,1,0,0,0
AM25-1LB	0,0,0,1,0,0,0
AM25-24	0,0,0,1,0,0,0
AM27-11LB	0,0,0,1,0,0,0
AM27-27	0,0,0,1,0,0,0
AM27-9LB	0,0,0,1,0,0,0
AM28-7	0,0,0,1,0,0,0
AM29-1	1,1,0,1,0,0,0
AM29-10LB	1,1,0,1,0,0,0
AM29-19LB	1,1,0,1,0,0,0
AM29-1LB	1,1,0,1,0,0,0
AM29-5AC	1,1,0,1,0,0,0
AM33-14	0,0,0,1,0,0,0
AM38-11BH	0,0,0,1,0,0,0
AM41-2AC	1,1,0,1,0,0,0
AM44-6	1,1,0,1,0,0,0
AM49-10BH	1,1,0,1,0,0,0
AM49-8	1,1,0,1,0,0,0
AM57-5	1,1,0,1,0,0,0
AM78-01pH3A	1,0,0,1,0,0,0
OF05-2BH	1,1,0,1,0,0,0
OM02-2LB	1,1,1,1,1,0,0
OM04-4AA	0,0,0,1,0,0,0
OM07-7	1,1,0,1,0,0,0
OM08-13AT	1,1,0,1,0,0,0
TF08-4	1,1,0,1,0,0,0
TF10-12AC	1,1,0,1,0,0,0
TF10-6	1,1,0,1,0,0,0
TF11-7	0,0,0,1,0,0,0
TM13-2A	0,0,0,1,0,0,0
GCA_900111325	1,1,1,1,1,0,0
GCA_000622065	1,1,1,1,1,0,0
GCA_900107245	1,1,1,1,1,0,0
GCA_000421025	1,1,1,1,1,0,0
GCA_900113385	1,1,1,1,1,0,0
GCA_000209815	1,1,1,1,1,0,0
GCA_900218035	1,1,1,1,1,0,0
GCA_000703005	1,1,1,1,1,0,1
GCA_000424305	1,1,1,1,1,0,0
GCA_002735565	1,1,1,1,1,0,0
GCA_000424005	1,1,1,1,1,0,0
GCA_900109715	1,1,1,1,1,0,1
GCA_002735285	1,1,1,1,1,0,1
GCA_008935055	1,1,1,1,1,0,0
GCA_010906925	1,1,1,1,1,0,1
GCA_900103015	1,1,1,1,1,0,1
GCA_900141825	1,1,1,1,1,0,0
GCA_900100545	1,1,1,1,1,0,0
GCA_900107545	1,1,1,1,1,0,1
GCA_900101325	1,1,1,1,1,0,1
GCA_900111635	1,1,1,1,1,0,1
GCA_900115355	1,1,1,1,1,0,0
GCA_000701765	1,1,1,1,1,0,1
GCA_000621865	1,1,1,1,1,0,1
GCA_900112855	1,1,1,1,1,0,1
GCA_900113655	1,1,1,1,1,0,0
GCA_900115215	1,1,1,1,1,0,0
GCA_900104335	1,1,1,1,1,0,0
GCA_000687555	1,1,1,1,1,0,0
GCA_003609635	1,1,1,1,1,0,0
GCA_900205965	1,0,0,1,1,0,0
GCA_900185635	0,0,0,1,0,0,0
GCA_000732605	0,0,0,1,0,0,0
GCA_002797975	0,0,0,1,0,0,0
GCA_000526995	1,1,1,1,0,0,0
GCA_016906045	0,0,0,1,0,0,0
GCA_900461315	0,0,0,1,0,0,0
GCA_900105615	0,0,0,1,0,0,0
GCA_001312385	0,0,0,1,0,0,0
GCA_000144625	0,0,0,1,0,0,0
GCA_016899835	0,0,0,1,0,0,0
GCA_016899555	0,0,0,1,0,0,0
GCA_016900595	0,0,0,1,0,0,0
GCA_900240245	1,0,0,1,0,0,0
GCA_900120345	1,0,0,1,0,0,0
GCA_000733755	0,0,0,1,0,0,0
GCA_000018685	0,0,0,1,0,0,0
GCA_000703105	0,0,0,1,0,0,0
GCA_000702985	0,0,0,1,0,0,0
GCA_014982975	0,0,0,1,0,0,0
GCA_002160985	0,0,0,1,0,0,0
GCA_002160755	0,0,0,1,0,0,0
20298_3_62	1,0,0,1,0,0,0
13414_6_1	0,0,0,1,0,0,0
13470_2_91	0,0,0,1,0,0,0
14207_7_43	0,0,0,1,0,0,0
21673_4_30	0,0,0,1,0,0,0
GCF_900078195	0,0,0,1,0,0,0
1519438.3	0,0,0,1,0,0,0
AF36-15AT	0,0,0,1,0,0,0
AM18-3AC	0,0,0,1,0,0,0
AM58-1XD	1,1,1,1,0,1,1
AM58-8	0,0,0,1,0,0,0
AM65-8A	0,0,0,1,0,0,0
GCA_900100095	1,1,1,1,1,0,0
GCA_900106615	1,1,1,1,1,0,0
GCA_000160115	1,1,1,1,0,1,1
GCA_000524295	1,1,1,1,0,1,1
AF51-6-b8A	1,1,1,1,0,1,1
GCA_000242235	1,1,1,1,1,0,0
GCA_002892395	1,1,1,1,1,0,0
IMG_2926471356	1,1,1,1,1,0,0
GCA_000225345	1,1,1,1,1,0,0
GCA_001406435	1,1,1,1,1,0,0
GCA_009718345	1,1,1,1,1,0,0
GCA_015554785	1,1,1,1,1,0,0
GCA_015555785	1,1,1,1,1,0,0
GCA_900537995	1,1,1,1,1,0,0
GCA_000209995	1,1,1,1,1,0,0
GCA_013300445	1,1,1,1,1,0,0
GCA_009759525	1,1,1,1,1,0,0
GCA_000210655	1,1,1,1,1,0,0
GCA_001406675	1,1,1,1,1,0,0
GCA_001405535	1,1,1,1,1,0,0
GCA_000174195	1,1,1,1,1,0,0
GCA_001406855	1,1,1,1,1,0,0
GCA_001940165	1,1,1,1,1,0,0
GCA_014287515	1,1,1,1,1,0,0
12718_7_64	1,1,1,1,1,0,0
18048_1_58	1,1,1,1,1,0,0
18048_2_58	1,1,1,1,1,0,0
20287_6_44	1,1,1,1,1,0,0
GCF_000156535	1,1,1,1,1,0,0
AF21-31	1,1,1,1,1,0,0
AF22-12AC	1,1,1,1,1,0,0
AF24-4	1,1,1,1,1,0,0
AF28-15	1,1,1,1,1,0,0
AF31-21AC	1,1,1,1,1,0,0
AF36-10AT	1,1,1,1,1,0,0
AF58-9ACA	1,1,1,1,1,0,0
AM22-21LB	1,1,1,1,1,0,0
AM23-20	1,1,1,1,1,0,0
AM23-23AC	1,1,1,1,1,0,0
AM27-11	1,1,1,1,1,0,0
AM32-8LB	1,1,1,1,1,0,0
AM37-1AC	1,1,1,1,1,0,0
AM42-1AC	1,1,1,1,1,0,0
AM43-11	1,1,1,1,1,0,0
AM53-7BH	1,1,1,1,1,0,0
AM62-3A	1,1,1,1,1,0,0
OF03-24	1,1,1,1,1,0,0
GCA_013300195	0,0,0,1,0,0,0
GCA_013301165	0,0,0,1,0,0,0
GCA_013301195	0,0,0,1,0,0,0
GCA_013301175	0,0,0,1,0,0,0
GCA_013300965	0,0,0,1,0,0,0
GCA_013301225	0,0,0,1,0,0,0
GCA_902167965	1,1,1,1,1,0,0
GCA_009830285	0,0,0,1,0,0,0
GCA_001940245	1,1,1,1,1,0,0
GCA_015159595	0,0,0,1,0,0,0
GCA_900095725	0,0,0,1,0,0,0
GCA_000403455	1,0,0,1,0,0,0
GCA_014287705	0,0,0,1,0,0,0
GCA_018228665	0,0,0,1,0,0,0
GCA_900066985	0,0,0,1,0,0,0
GCA_000403495	1,1,1,1,0,1,1
GCA_000403255	1,1,1,1,1,0,1
GCA_900109005	1,1,1,1,1,0,0
GCA_000403315	1,1,1,1,1,0,0
GCA_009911155	1,1,1,1,0,1,1
GCA_009911455	0,0,0,1,0,0,0
GCA_009911465	0,0,0,1,0,0,0
GCA_009911035	1,1,1,1,0,1,1
GCA_900168235	1,1,1,1,0,1,1
GCA_004793545	1,1,1,1,1,0,1
GCA_004793585	0,0,0,1,0,0,0
GCA_009911185	1,1,1,1,1,0,0
GCA_000621425	1,1,1,1,0,1,1
GCA_000702525	1,1,1,1,1,0,0
GCA_000702685	1,1,1,1,0,1,1
GCA_000622025	1,1,1,1,1,0,0
GCA_000621405	1,1,1,1,0,1,1
GCA_014385265	1,1,1,1,1,0,0
GCA_000702145	1,1,1,1,1,0,0
GCA_900103495	1,1,1,0,0,1,1
GCA_900100245	0,0,0,1,0,0,0
GCA_014384925	1,1,1,1,0,1,1
GCA_900114405	1,1,1,1,0,1,1
GCA_009731425	0,0,0,1,0,0,0
GCA_000746015	1,1,1,1,0,1,1
GCA_018223435	0,0,0,1,0,0,0
GCA_000701625	1,1,1,1,0,1,1
GCA_000622105	1,1,1,1,1,0,0
GCA_010206225	0,0,0,1,0,0,0
GCA_010206365	1,1,1,1,0,1,1
GCA_000621905	1,1,1,1,0,1,1
GCA_000687675	1,1,1,1,0,1,1
GCA_000702125	1,1,1,1,0,1,1
GCA_900107575	1,1,1,1,0,1,1
GCA_000420925	1,1,1,1,0,1,1
GCA_000424365	1,1,1,1,0,1,1
GCA_000421045	1,1,1,1,0,1,1
GCA_014384985	1,1,1,1,1,0,0
GCA_014337215	1,1,1,1,0,1,1
GCA_014337195	0,0,0,1,0,0,0
GCA_014337155	1,1,1,1,0,1,1
GCA_900110975	1,1,1,1,0,1,1
GCA_000702085	1,1,1,1,0,1,1
GCA_900115795	1,1,1,0,1,0,1
GCA_900102235	1,1,1,0,0,1,1
GCA_900116395	1,1,1,0,1,0,0
GCA_900102065	1,1,1,1,0,1,1
GCA_900100895	1,1,1,1,0,1,1
GCA_000875945	0,0,0,0,0,0,0
GCA_000621985	1,1,1,1,1,0,0
GCA_018141845	0,0,0,1,0,0,0
GCA_002999035	0,1,0,0,0,0,0
GCA_001940225	1,1,1,1,1,0,0
GCA_014297335	1,1,1,1,1,0,0
GCA_014287635	1,1,1,1,1,0,0
GCA_014287435	1,1,1,0,1,0,0
GCA_002160325	0,0,0,1,0,0,0
GCA_002160135	0,0,0,1,0,0,0
GCA_900625025	1,1,1,1,0,1,1
GCA_002161055	0,0,0,1,0,0,0
12718_7_92	1,1,1,1,1,0,0
12718_7_93	0,0,0,1,0,0,0
13414_6_15	0,0,0,1,0,0,0
13414_6_2	1,1,1,1,0,1,1
13414_6_68	1,1,1,1,0,1,1
13414_6_70	1,1,1,1,1,0,0
13470_2_89	1,1,1,1,1,0,0
14207_7_13	0,0,0,1,0,0,0
14207_7_42	0,0,0,1,0,0,0
18048_1_84	0,0,0,1,0,0,0
18048_1_85	1,1,1,1,1,0,0
18048_2_84	0,0,0,1,0,0,0
18048_2_85	1,1,1,1,1,0,0
20287_6_34	1,0,0,1,0,0,0
20287_6_63	1,0,0,1,0,0,0
20287_6_88	0,0,0,1,0,0,0
20298_3_34	0,0,0,1,0,0,0
21673_4_12	0,0,0,1,0,0,0
21673_4_37	0,0,0,1,0,0,0
21673_4_3	0,0,0,1,0,0,0
21673_4_71	1,1,1,1,1,0,0
8080_1_93	1,1,1,1,1,0,0
1715004.3	0,0,0,1,0,0,0
2067550.5	0,0,0,1,0,0,0
245014.3	1,1,1,1,1,0,0
59620.57	1,1,1,1,1,0,0
AF02-12	1,1,1,1,1,0,0
AF02-42	1,1,1,1,1,0,0
AF02-47	1,1,1,0,1,0,0
AF12-17LB	1,1,1,1,1,0,0
AF12-19	1,1,1,1,1,0,0
AF12-28	1,1,1,1,1,0,0
AF15-21	1,1,1,1,1,0,0
AF15-49	1,1,1,1,0,1,1
AF15-6B	1,1,1,1,0,1,1
AF16-25	1,1,1,1,0,1,1
AF18-31LB	0,0,0,1,0,0,0
AF20-17LB	1,1,1,1,1,0,0
AF20-18LB	1,1,1,1,1,0,0
AF21-14LB	0,0,0,1,0,0,0
AF21-21	0,0,0,1,0,0,0
AF22-2LB	1,1,1,1,1,0,0
AF22-8AC	1,1,1,1,1,0,0
AF23-8	1,1,1,1,0,1,1
AF24-7LB	0,0,0,1,0,0,0
AF25-13AC	0,0,0,1,0,0,0
AF25-13LB	1,1,1,1,1,0,0
AF25-15LB	1,1,1,1,1,0,0
AF25-18LB	1,1,1,1,1,0,0
AF25-25LB	1,1,1,1,1,0,0
AF27-2AA	0,0,0,1,0,0,0
AF28-12	1,1,1,1,1,0,0
AF29-16BH	0,0,0,1,0,0,0
AF31-3BH	0,0,0,1,0,0,0
AF32-12BH	0,0,0,1,0,0,0
AF33-28	0,0,0,1,0,0,0
AF34-13	1,1,1,0,1,0,0
AF34-16	1,1,1,1,1,0,0
AF36-10	1,1,1,1,1,0,0
AF37-5AT	1,1,1,1,1,0,0
AF42-6	0,0,0,1,0,0,0
AF42-8	1,1,1,1,1,0,0
AF43-10	1,1,1,1,0,1,1
AF50-8-r	1,1,1,1,1,0,0
AF51-26b1	0,0,0,1,0,0,0
AF51-3-b8A	1,1,1,1,1,0,0
AF51-7-b10A	1,1,1,1,1,0,0
AF54-6pH10A	1,1,1,1,1,0,0
AF55-24LNA	1,1,1,1,1,0,0
AF58-1A	0,0,0,1,0,0,1
AF58-5ACA	1,1,1,1,1,0,0
AF66-18pH10TA	1,1,1,1,1,0,0
AF67-21pH9TA	1,1,1,0,1,0,0
AF75-08pH9A	1,1,1,1,1,0,0
AF81-08TA	1,1,1,0,1,0,0
AF88-01pH10A	1,1,1,1,1,0,0
AF90S-01pH9BA	0,0,0,1,0,0,0
AF90S-19M2BA	1,1,1,1,1,0,0
AF91-09b3A	1,1,1,1,1,0,0
AF92-12TA	1,1,1,1,1,0,0
AF96-08pH9A	1,1,1,1,1,0,0
AF96-09pH9TA	1,1,1,1,1,0,0
AF96-14M2BTA	1,1,1,1,1,0,0
AF97-08DTA	1,1,1,1,1,0,0
AF97-11M2TA	0,0,0,1,0,0,0
AM100_B13A	0,0,0,1,0,0,0
AM100_B9A	1,1,1,1,1,0,0
AM100_BB17A	1,1,1,1,1,0,0
AM100-PB-1D-34A	0,0,0,1,0,0,0
AM10-31	0,0,0,1,0,0,0
AM10-3A	1,1,1,1,1,0,0
AM13-35	0,0,0,1,0,0,0
AM16-23	1,1,1,1,1,0,0
AM16-25	1,1,1,0,1,0,0
AM22-16AC	1,1,1,1,1,0,0
AM23-16LB	0,0,0,1,0,0,0
AM25-23AC	1,1,1,1,1,0,0
AM27-31LB	1,1,1,0,1,0,0
AM27-36LB	0,0,0,1,0,0,0
AM30-24	1,1,1,1,1,0,0
AM33-3	0,0,0,1,0,0,0
AM34-11AC	1,1,1,1,1,0,0
AM42-36	1,1,1,1,0,1,1
AM42-4	0,0,0,1,0,0,0
AM45-5	1,1,1,1,1,0,0
AM46-1BH	1,1,1,1,1,0,0
AM48-27BH	0,0,0,1,0,0,1
AM49-4BH	1,1,1,1,1,0,0
AM51-8	1,1,1,0,1,0,0
AM53-12	1,1,1,1,0,1,1
AM53-13BH	1,1,1,1,1,0,0
AM59-24XD	1,1,1,1,1,0,0
AM67-14ACA	0,0,0,1,0,0,0
AM73-11pH9A	0,0,0,0,0,0,0
AM88-24TA	1,1,1,1,1,0,0
AM90-07pH9A	0,0,0,1,0,0,1
AM97-56	1,1,1,1,1,0,0
CF03-11TA	1,1,1,1,1,0,0
IF01-08pH9TA	1,1,1,1,1,0,0
OF03-15BH	0,0,0,1,0,0,0
OF03-18AA	1,1,1,1,1,0,0
OF05-3	1,1,1,1,1,0,0
OF09-1	0,0,0,1,0,0,0
OF09-10	1,1,1,1,1,0,0
OF09-33XD	1,1,1,1,0,1,1
OF09-36	0,0,0,1,0,0,0
OF11-28	1,1,1,1,1,0,0
OF27-8pH10A	0,0,0,1,0,0,0
OM02-18AC	0,0,0,1,0,0,0
OM03-18	1,1,1,1,1,0,0
OM03-7AC	1,1,1,1,1,0,0
OM04-10AA	1,1,1,1,1,0,0
OM04-10BH	1,1,1,1,1,0,0
OM04-12BH	1,1,1,1,0,1,1
OM04-15AA	1,1,1,1,1,0,0
OM05-6BH	1,1,1,1,1,0,0
OM05-9BH	1,1,1,1,1,0,0
OM07-10AC	1,1,1,1,1,0,0
OM07-5	0,0,0,1,0,0,0
OM07-9AC	1,1,1,1,1,0,0
OM08-29	1,1,1,1,0,1,1
OM08-6BH	0,0,0,1,0,0,0
TF01-11	1,1,1,0,1,0,0
TF01-6	1,1,1,1,1,0,0
TF08-3AC	1,1,1,0,1,0,0
