Gene,GCA_000145035,GCA_000420965,GCA_000420985,GCA_000423985,GCA_000424405,GCA_000424425,GCA_000424465,GCA_000424565,GCA_000621465,GCA_000622085,GCA_000686065,GCA_000686965,GCA_001858005,GCA_003175155,GCA_900101605,GCA_900110805,GCA_900111185,GCA_900115735,GCA_900129945,GCA_900143205
group_4690,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
nadK_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4692,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
hflK,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
hflC,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
rho,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4696,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4697,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4698,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4699,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4700,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4701,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4702,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4704,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4706,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4707,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4708,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4709,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4710,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4711,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4712,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4713,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4714,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4715,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4716,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4717,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4718,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4719,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4720,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4721,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4722,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4723,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4724,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4725,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4726,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4730,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4731,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4732,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4733,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4734,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
xylF,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
chvE,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
xylH,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4739,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4740,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4741,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4742,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4743,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4744,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
cdgJ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4746,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4747,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4748,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4749,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
dctP,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4752,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4753,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4754,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4756,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4757,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
cbiD_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4760,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4761,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4763,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4764,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4765,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4766,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4767,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4768,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4769,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4770,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4771,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4772,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4773,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4774,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4776,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4777,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
mrdB_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4779,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4780,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4781,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4782,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4783,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4784,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4785,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4786,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4787,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4788,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4789,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4790,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4791,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4792,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4793,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4794,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4795,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
ytrB,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4797,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4798,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4799,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4800,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4801,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4802,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4803,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4805,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4806,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4807,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4808,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4809,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4810,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
rhaS,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4812,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4813,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4814,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4815,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4817,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
spsB_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
spsB_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4821,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
rl5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4824,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
ziaR,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4826,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4827,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4828,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4830,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4832,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4838,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4839,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
yjcD_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4841,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4842,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4843,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4844,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4845,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4846,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4847,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4848,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4849,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4850,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4851,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4852,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4853,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4854,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4855,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4856,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4857,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4859,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4860,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4861,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4862,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4863,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4864,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4865,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4866,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4867,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4868,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4869,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4870,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4871,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4872,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
htrA,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4874,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
lacZ_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4876,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4877,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4878,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4879,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4880,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4881,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4882,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
argF_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4884,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4885,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
dusB,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4893,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4894,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4895,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4899,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4900,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4901,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4902,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
ndhI_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4905,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4906,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
glnP,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4908,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4910,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4911,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
group_4913,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4915,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4916,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4917,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4918,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4922,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4923,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
cymR_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4925,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4927,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
exuR_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4929,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
melD_3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4931,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
treP,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4933,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4934,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4935,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4936,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4937,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4938,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4940,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4941,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4942,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
gpmA,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
accB,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
accC,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4947,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4948,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
acsA,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4950,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4951,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4952,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
glpG,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4955,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4956,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4957,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4959,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
ssuC,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
ssuB_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4963,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4964,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4965,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4967,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
polA,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4971,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4972,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4973,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4974,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4975,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4976,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4977,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4978,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4979,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4980,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4981,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4982,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
yxlF_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4984,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4985,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4986,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4987,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4988,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4992,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4993,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4994,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4995,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4996,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
flgK,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4998,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_4999,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5000,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5001,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5004,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5005,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5006,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5007,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5008,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5009,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5010,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
pglC_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5012,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5013,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5014,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5015,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5016,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5017,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
mshA_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5019,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5020,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5021,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5022,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5023,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5024,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5025,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5026,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
recD2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5028,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
flgG_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
ddl_2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5031,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
stp,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5033,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5034,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5035,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5036,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5037,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
iscS,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5039,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5040,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5041,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5042,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5043,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
cbbY,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5045,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5046,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5047,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5048,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
group_5049,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
