feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Eisenbergiella sp. AF16-15,Eisenbergiella sp. AF36-19BH,0.88329,pos,0.88329,0,0
Acetatifactor intestinalis AF22-6AC,Eisenbergiella sp. AM46-4BH,0.49687,pos,0.49687,0,0
Acetatifactor sp. AF34-10BH,Eisenbergiella sp. AM46-4BH,0.44177,pos,0.44177,0,0
Acetatifactor sp. AF46-12NS,Eisenbergiella sp. AM46-4BH,0.35894,pos,0.35894,0,0
Acetatifactor sp. TM11-1A,Eisenbergiella sp. AM46-4BH,0.51275,pos,0.51275,0,0
Agathobacter faecis 21673_4_84,Eisenbergiella sp. AM46-4BH,0.42911,pos,0.42911,0,0
Agathobacter faecis GCA_001405615,Eisenbergiella sp. AM46-4BH,0.46906,pos,0.46906,0,0
Agathobacter faecis GCA_015550045,Eisenbergiella sp. AM46-4BH,0.42699,pos,0.42699,0,0
Agathobacter rectalis AF17-27,Eisenbergiella sp. AM46-4BH,0.4626,pos,0.4626,0,0
Agathobacter rectalis GCA_001406835,Eisenbergiella sp. AM46-4BH,0.43847,pos,0.43847,0,0
Agathobacter rectalis GCA_013303775,Eisenbergiella sp. AM46-4BH,0.32722,pos,0.32722,0,0
Agathobacter rectalis GCA_015557515,Eisenbergiella sp. AM46-4BH,0.42694,pos,0.42694,0,0
Agathobacter rectalis GCA_018784685,Eisenbergiella sp. AM46-4BH,0.45352,pos,0.45352,0,0
Agathobacter rectalis TM10-3,Eisenbergiella sp. AM46-4BH,0.39447,pos,0.39447,0,0
Agathobacter sp. 20427_4_23,Eisenbergiella sp. AM46-4BH,0.44918,pos,0.44918,0,0
Bariatricus comes GCA_013301565,Eisenbergiella sp. AM46-4BH,0.39612,pos,0.39612,0,0
Butyribacter intestini AF81-08TA,Eisenbergiella sp. AM46-4BH,0.39535,pos,0.39535,0,0
Butyribacter sp. AM49-4BH,Eisenbergiella sp. AM46-4BH,0.49918,pos,0.49918,0,0
Butyribacter sp. AM53-13BH,Eisenbergiella sp. AM46-4BH,0.42521,pos,0.42521,0,0
Choladocola sp. 21673_4_3,Eisenbergiella sp. AM46-4BH,0.52517,pos,0.52517,0,0
Choladocola sp. OM08-6BH,Eisenbergiella sp. AM46-4BH,0.57577,pos,0.57577,0,0
Clostridium_Q fessum AF27-5AA,Eisenbergiella sp. AM46-4BH,0.42804,pos,0.42804,0,0
Eisenbergiella sp. 14207_7_45,Eisenbergiella sp. AM46-4BH,0.86158,pos,0.86158,0,0
Eisenbergiella sp. 18048_1_69,Eisenbergiella sp. AM46-4BH,0.62787,pos,0.62787,0,0
Eisenbergiella sp. 18048_2_69,Eisenbergiella sp. AM46-4BH,0.60446,pos,0.60446,0,0
Eisenbergiella sp. AF16-15,Eisenbergiella sp. AM46-4BH,0.92793,pos,0.92793,0,0
Eisenbergiella sp. AF36-19BH,Eisenbergiella sp. AM46-4BH,0.90403,pos,0.90403,0,0
Acetatifactor intestinalis AF22-6AC,Eisenbergiella sp. TM09-10,0.43915,pos,0.43915,0,0
Acetatifactor sp. AF34-10BH,Eisenbergiella sp. TM09-10,0.40708,pos,0.40708,0,0
Acetatifactor sp. AF46-12NS,Eisenbergiella sp. TM09-10,0.32354,pos,0.32354,0,0
Acetatifactor sp. TM11-1A,Eisenbergiella sp. TM09-10,0.42096,pos,0.42096,0,0
Agathobacter faecis 21673_4_84,Eisenbergiella sp. TM09-10,0.39858,pos,0.39858,0,0
Agathobacter faecis GCA_001405615,Eisenbergiella sp. TM09-10,0.43954,pos,0.43954,0,0
Agathobacter faecis GCA_015550045,Eisenbergiella sp. TM09-10,0.401,pos,0.401,0,0
Agathobacter rectalis AF17-27,Eisenbergiella sp. TM09-10,0.43526,pos,0.43526,0,0
Agathobacter rectalis GCA_001406835,Eisenbergiella sp. TM09-10,0.42082,pos,0.42082,0,0
Agathobacter rectalis GCA_013303775,Eisenbergiella sp. TM09-10,0.30413,pos,0.30413,0,0
Agathobacter rectalis GCA_015557515,Eisenbergiella sp. TM09-10,0.39162,pos,0.39162,0,0
Agathobacter rectalis GCA_018784685,Eisenbergiella sp. TM09-10,0.40986,pos,0.40986,0,0
Agathobacter rectalis TM10-3,Eisenbergiella sp. TM09-10,0.38532,pos,0.38532,0,0
Agathobacter sp. 20427_4_23,Eisenbergiella sp. TM09-10,0.44328,pos,0.44328,0,0
Bariatricus comes GCA_013301565,Eisenbergiella sp. TM09-10,0.37728,pos,0.37728,0,0
Butyribacter intestini AF81-08TA,Eisenbergiella sp. TM09-10,0.35651,pos,0.35651,0,0
Butyribacter sp. AM49-4BH,Eisenbergiella sp. TM09-10,0.46688,pos,0.46688,0,0
Butyribacter sp. AM53-13BH,Eisenbergiella sp. TM09-10,0.39394,pos,0.39394,0,0
Choladocola sp. 21673_4_3,Eisenbergiella sp. TM09-10,0.44924,pos,0.44924,0,0
Choladocola sp. OM08-6BH,Eisenbergiella sp. TM09-10,0.57029,pos,0.57029,0,0
Clostridium_Q fessum AF27-5AA,Eisenbergiella sp. TM09-10,0.39874,pos,0.39874,0,0
Eisenbergiella sp. 14207_7_45,Eisenbergiella sp. TM09-10,0.86448,pos,0.86448,0,0
Eisenbergiella sp. 18048_1_69,Eisenbergiella sp. TM09-10,0.5728,pos,0.5728,0,0
Eisenbergiella sp. 18048_2_69,Eisenbergiella sp. TM09-10,0.58891,pos,0.58891,0,0
Eisenbergiella sp. AF16-15,Eisenbergiella sp. TM09-10,0.90544,pos,0.90544,0,0
Eisenbergiella sp. AF36-19BH,Eisenbergiella sp. TM09-10,0.91343,pos,0.91343,0,0
Eisenbergiella sp. AM46-4BH,Eisenbergiella sp. TM09-10,0.90662,pos,0.90662,0,0
Agathobacter rectalis GCA_013303775,Enterocloster bolteae AM27-28LB,0.30511,pos,0.30511,0,0
Agathobacter rectalis GCA_015557515,Enterocloster bolteae AM27-28LB,0.30054,pos,0.30054,0,0
Acetatifactor intestinalis AF22-6AC,Eubacterium_F sp. AF36-4,0.49185,pos,0.49185,0,0
Acetatifactor sp. AF34-10BH,Eubacterium_F sp. AF36-4,0.44044,pos,0.44044,0,0
Acetatifactor sp. AF46-12NS,Eubacterium_F sp. AF36-4,0.34218,pos,0.34218,0,0
Acetatifactor sp. TM11-1A,Eubacterium_F sp. AF36-4,0.48082,pos,0.48082,0,0
Agathobacter faecis 21673_4_84,Eubacterium_F sp. AF36-4,0.33404,pos,0.33404,0,0
Agathobacter faecis GCA_001405615,Eubacterium_F sp. AF36-4,0.33332,pos,0.33332,0,0
Agathobacter faecis GCA_015550045,Eubacterium_F sp. AF36-4,0.31144,pos,0.31144,0,0
Agathobacter rectalis AF17-27,Eubacterium_F sp. AF36-4,0.39748,pos,0.39748,0,0
Agathobacter rectalis GCA_001406835,Eubacterium_F sp. AF36-4,0.37637,pos,0.37637,0,0
Agathobacter rectalis GCA_015557515,Eubacterium_F sp. AF36-4,0.37514,pos,0.37514,0,0
Agathobacter rectalis GCA_018784685,Eubacterium_F sp. AF36-4,0.37423,pos,0.37423,0,0
Agathobacter rectalis TM10-3,Eubacterium_F sp. AF36-4,0.35604,pos,0.35604,0,0
Agathobacter sp. 20427_4_23,Eubacterium_F sp. AF36-4,0.34813,pos,0.34813,0,0
Bariatricus comes GCA_013301565,Eubacterium_F sp. AF36-4,0.34222,pos,0.34222,0,0
Butyribacter intestini AF81-08TA,Eubacterium_F sp. AF36-4,0.56497,pos,0.56497,0,0
Butyribacter sp. AM49-4BH,Eubacterium_F sp. AF36-4,0.59715,pos,0.59715,0,0
Butyribacter sp. AM53-13BH,Eubacterium_F sp. AF36-4,0.5072,pos,0.5072,0,0
Choladocola sp. 21673_4_3,Eubacterium_F sp. AF36-4,0.4437,pos,0.4437,0,0
Choladocola sp. OM08-6BH,Eubacterium_F sp. AF36-4,0.53332,pos,0.53332,0,0
Clostridium_Q fessum AF27-5AA,Eubacterium_F sp. AF36-4,0.35683,pos,0.35683,0,0
Eisenbergiella sp. 14207_7_45,Eubacterium_F sp. AF36-4,0.48225,pos,0.48225,0,0
Eisenbergiella sp. 18048_2_69,Eubacterium_F sp. AF36-4,0.30628,pos,0.30628,0,0
Eisenbergiella sp. AF16-15,Eubacterium_F sp. AF36-4,0.49303,pos,0.49303,0,0
Eisenbergiella sp. AF36-19BH,Eubacterium_F sp. AF36-4,0.49992,pos,0.49992,0,0
Eisenbergiella sp. AM46-4BH,Eubacterium_F sp. AF36-4,0.51407,pos,0.51407,0,0
Eisenbergiella sp. TM09-10,Eubacterium_F sp. AF36-4,0.49505,pos,0.49505,0,0
Acetatifactor intestinalis AF22-6AC,Eubacterium_F sp. AF37-5,0.45394,pos,0.45394,0,0
Acetatifactor sp. AF34-10BH,Eubacterium_F sp. AF37-5,0.42777,pos,0.42777,0,0
Acetatifactor sp. AF46-12NS,Eubacterium_F sp. AF37-5,0.35531,pos,0.35531,0,0
Acetatifactor sp. TM11-1A,Eubacterium_F sp. AF37-5,0.45618,pos,0.45618,0,0
Agathobacter faecis 21673_4_84,Eubacterium_F sp. AF37-5,0.37946,pos,0.37946,0,0
Agathobacter faecis GCA_001405615,Eubacterium_F sp. AF37-5,0.36595,pos,0.36595,0,0
Agathobacter faecis GCA_015550045,Eubacterium_F sp. AF37-5,0.35876,pos,0.35876,0,0
Agathobacter rectalis AF17-27,Eubacterium_F sp. AF37-5,0.37667,pos,0.37667,0,0
Agathobacter rectalis GCA_001406835,Eubacterium_F sp. AF37-5,0.36932,pos,0.36932,0,0
Agathobacter rectalis GCA_015557515,Eubacterium_F sp. AF37-5,0.36545,pos,0.36545,0,0
Agathobacter rectalis GCA_018784685,Eubacterium_F sp. AF37-5,0.36352,pos,0.36352,0,0
Agathobacter rectalis TM10-3,Eubacterium_F sp. AF37-5,0.35754,pos,0.35754,0,0
Agathobacter sp. 20427_4_23,Eubacterium_F sp. AF37-5,0.39774,pos,0.39774,0,0
Bariatricus comes GCA_013301565,Eubacterium_F sp. AF37-5,0.35881,pos,0.35881,0,0
Butyribacter intestini AF81-08TA,Eubacterium_F sp. AF37-5,0.56037,pos,0.56037,0,0
Butyribacter sp. AM49-4BH,Eubacterium_F sp. AF37-5,0.6256,pos,0.6256,0,0
Butyribacter sp. AM53-13BH,Eubacterium_F sp. AF37-5,0.52962,pos,0.52962,0,0
Choladocola sp. 21673_4_3,Eubacterium_F sp. AF37-5,0.45458,pos,0.45458,0,0
Choladocola sp. OM08-6BH,Eubacterium_F sp. AF37-5,0.56025,pos,0.56025,0,0
Clostridium_Q fessum AF27-5AA,Eubacterium_F sp. AF37-5,0.3797,pos,0.3797,0,0
Eisenbergiella sp. 14207_7_45,Eubacterium_F sp. AF37-5,0.49826,pos,0.49826,0,0
Eisenbergiella sp. 18048_2_69,Eubacterium_F sp. AF37-5,0.30179,pos,0.30179,0,0
Eisenbergiella sp. AF16-15,Eubacterium_F sp. AF37-5,0.49583,pos,0.49583,0,0
Eisenbergiella sp. AF36-19BH,Eubacterium_F sp. AF37-5,0.52885,pos,0.52885,0,0
Eisenbergiella sp. AM46-4BH,Eubacterium_F sp. AF37-5,0.53367,pos,0.53367,0,0
Eisenbergiella sp. TM09-10,Eubacterium_F sp. AF37-5,0.51768,pos,0.51768,0,0
Eubacterium_F sp. AF36-4,Eubacterium_F sp. AF37-5,0.90475,pos,0.90475,0,0
Acetatifactor intestinalis AF22-6AC,Eubacterium_F sp. AM53-6,0.54243,pos,0.54243,0,0
Acetatifactor sp. AF34-10BH,Eubacterium_F sp. AM53-6,0.52586,pos,0.52586,0,0
Acetatifactor sp. AF46-12NS,Eubacterium_F sp. AM53-6,0.44473,pos,0.44473,0,0
Acetatifactor sp. TM11-1A,Eubacterium_F sp. AM53-6,0.57523,pos,0.57523,0,0
Agathobacter faecis 21673_4_84,Eubacterium_F sp. AM53-6,0.35145,pos,0.35145,0,0
Agathobacter faecis GCA_001405615,Eubacterium_F sp. AM53-6,0.31177,pos,0.31177,0,0
Agathobacter faecis GCA_015550045,Eubacterium_F sp. AM53-6,0.33138,pos,0.33138,0,0
Agathobacter rectalis AF17-27,Eubacterium_F sp. AM53-6,0.3755,pos,0.3755,0,0
Agathobacter rectalis GCA_001406835,Eubacterium_F sp. AM53-6,0.30526,pos,0.30526,0,0
Agathobacter sp. 20427_4_23,Eubacterium_F sp. AM53-6,0.40829,pos,0.40829,0,0
Anaerotignum lactatifermentans_A GCA_016902195,Eubacterium_F sp. AM53-6,0.31904,neg,-0.31904,0,0
Bariatricus comes GCA_013301565,Eubacterium_F sp. AM53-6,0.36208,pos,0.36208,0,0
Butyribacter intestini AF81-08TA,Eubacterium_F sp. AM53-6,0.50723,pos,0.50723,0,0
Butyribacter sp. AM49-4BH,Eubacterium_F sp. AM53-6,0.58529,pos,0.58529,0,0
Butyribacter sp. AM53-13BH,Eubacterium_F sp. AM53-6,0.50081,pos,0.50081,0,0
Choladocola sp. 21673_4_3,Eubacterium_F sp. AM53-6,0.49187,pos,0.49187,0,0
Choladocola sp. OM08-6BH,Eubacterium_F sp. AM53-6,0.52454,pos,0.52454,0,0
Clostridium_Q fessum AF27-5AA,Eubacterium_F sp. AM53-6,0.38134,pos,0.38134,0,0
Eisenbergiella sp. 14207_7_45,Eubacterium_F sp. AM53-6,0.42224,pos,0.42224,0,0
Eisenbergiella sp. AF16-15,Eubacterium_F sp. AM53-6,0.46617,pos,0.46617,0,0
Eisenbergiella sp. AF36-19BH,Eubacterium_F sp. AM53-6,0.47768,pos,0.47768,0,0
Eisenbergiella sp. AM46-4BH,Eubacterium_F sp. AM53-6,0.49914,pos,0.49914,0,0
Eisenbergiella sp. TM09-10,Eubacterium_F sp. AM53-6,0.45818,pos,0.45818,0,0
Eubacterium_F sp. AF36-4,Eubacterium_F sp. AM53-6,0.51973,pos,0.51973,0,0
Eubacterium_F sp. AF37-5,Eubacterium_F sp. AM53-6,0.53339,pos,0.53339,0,0
Acetatifactor sp. AF46-12NS,Eubacterium_G sp. OF14-22SRA,0.332,pos,0.332,0,0
Anaerobutyricum hallii GCA_018140635,Eubacterium_G sp. OF14-22SRA,0.32188,pos,0.32188,0,0
Anaerotignum lactatifermentans_A GCA_016902195,Eubacterium_G sp. OF14-22SRA,0.39516,neg,-0.39516,0,0
Choladocola sp. 21673_4_3,Eubacterium_G sp. OF14-22SRA,0.32082,pos,0.32082,0,0
Choladocola sp. OM08-6BH,Eubacterium_G sp. OF14-22SRA,0.35884,pos,0.35884,0,0
Eisenbergiella sp. 14207_7_45,Eubacterium_G sp. OF14-22SRA,0.32649,pos,0.32649,0,0
Eubacterium_F sp. AM53-6,Eubacterium_G sp. OF14-22SRA,0.39398,pos,0.39398,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospira eligens_A AF42-3BH,0.3658,pos,0.3658,0,0
Acetatifactor sp. TM11-1A,Lachnospira eligens_A AF42-3BH,0.32048,pos,0.32048,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. 13414_6_70,0.52569,pos,0.52569,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. 13414_6_70,0.46534,pos,0.46534,0,0
Acetatifactor sp. AF46-12NS,Lachnospiraceae gen. 13414_6_70,0.32042,pos,0.32042,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. 13414_6_70,0.50089,pos,0.50089,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. 13414_6_70,0.3188,pos,0.3188,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. 13414_6_70,0.37032,pos,0.37032,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. 13414_6_70,0.36291,pos,0.36291,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. 13414_6_70,0.4565,pos,0.4565,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. 13414_6_70,0.39667,pos,0.39667,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. 13414_6_70,0.32086,pos,0.32086,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. 13414_6_70,0.382,pos,0.382,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. 13414_6_70,0.37237,pos,0.37237,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. 13414_6_70,0.35908,pos,0.35908,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. 13414_6_70,0.49306,pos,0.49306,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. 13414_6_70,0.35474,pos,0.35474,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. 13414_6_70,0.3647,pos,0.3647,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. 13414_6_70,0.46643,pos,0.46643,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. 13414_6_70,0.43745,pos,0.43745,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. 13414_6_70,0.49284,pos,0.49284,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. 13414_6_70,0.37812,pos,0.37812,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. 13414_6_70,0.33766,pos,0.33766,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. 13414_6_70,0.41707,pos,0.41707,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. 13414_6_70,0.43896,pos,0.43896,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. 13414_6_70,0.47031,pos,0.47031,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. 13414_6_70,0.45564,pos,0.45564,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. 13414_6_70,0.44895,pos,0.44895,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. 13414_6_70,0.37186,pos,0.37186,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. 13414_6_70,0.36666,pos,0.36666,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. 13414_6_70,0.41775,pos,0.41775,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. AF12-17LB,0.53522,pos,0.53522,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. AF12-17LB,0.48653,pos,0.48653,0,0
Acetatifactor sp. AF46-12NS,Lachnospiraceae gen. AF12-17LB,0.34174,pos,0.34174,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. AF12-17LB,0.5083,pos,0.5083,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. AF12-17LB,0.35937,pos,0.35937,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. AF12-17LB,0.38574,pos,0.38574,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. AF12-17LB,0.39604,pos,0.39604,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. AF12-17LB,0.43864,pos,0.43864,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. AF12-17LB,0.36553,pos,0.36553,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. AF12-17LB,0.33968,pos,0.33968,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. AF12-17LB,0.37697,pos,0.37697,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. AF12-17LB,0.37345,pos,0.37345,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. AF12-17LB,0.34117,pos,0.34117,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. AF12-17LB,0.57721,pos,0.57721,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. AF12-17LB,0.40866,pos,0.40866,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. AF12-17LB,0.44264,pos,0.44264,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. AF12-17LB,0.48815,pos,0.48815,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. AF12-17LB,0.47753,pos,0.47753,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. AF12-17LB,0.42767,pos,0.42767,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. AF12-17LB,0.38328,pos,0.38328,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. AF12-17LB,0.40368,pos,0.40368,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. AF12-17LB,0.37629,pos,0.37629,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. AF12-17LB,0.44792,pos,0.44792,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. AF12-17LB,0.43846,pos,0.43846,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. AF12-17LB,0.46414,pos,0.46414,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. AF12-17LB,0.43599,pos,0.43599,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. AF12-17LB,0.36996,pos,0.36996,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. AF12-17LB,0.38487,pos,0.38487,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. AF12-17LB,0.42651,pos,0.42651,0,0
Lachnospiraceae gen. 13414_6_70,Lachnospiraceae gen. AF12-17LB,0.6754,pos,0.6754,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. AF15-21,0.54633,pos,0.54633,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. AF15-21,0.48474,pos,0.48474,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. AF15-21,0.51092,pos,0.51092,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. AF15-21,0.36516,pos,0.36516,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. AF15-21,0.36977,pos,0.36977,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. AF15-21,0.392,pos,0.392,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. AF15-21,0.48709,pos,0.48709,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. AF15-21,0.45931,pos,0.45931,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. AF15-21,0.35145,pos,0.35145,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. AF15-21,0.46139,pos,0.46139,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. AF15-21,0.45044,pos,0.45044,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. AF15-21,0.42576,pos,0.42576,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. AF15-21,0.52481,pos,0.52481,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. AF15-21,0.41351,pos,0.41351,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. AF15-21,0.45826,pos,0.45826,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. AF15-21,0.48823,pos,0.48823,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. AF15-21,0.46041,pos,0.46041,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. AF15-21,0.51919,pos,0.51919,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. AF15-21,0.45794,pos,0.45794,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. AF15-21,0.45054,pos,0.45054,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. AF15-21,0.36262,pos,0.36262,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. AF15-21,0.43485,pos,0.43485,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. AF15-21,0.41992,pos,0.41992,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. AF15-21,0.44253,pos,0.44253,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. AF15-21,0.4358,pos,0.4358,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. AF15-21,0.41132,pos,0.41132,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. AF15-21,0.38892,pos,0.38892,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. AF15-21,0.48957,pos,0.48957,0,0
Lachnospiraceae gen. 13414_6_70,Lachnospiraceae gen. AF15-21,0.74393,pos,0.74393,0,0
Lachnospiraceae gen. AF12-17LB,Lachnospiraceae gen. AF15-21,0.68851,pos,0.68851,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. AF20-18LB,0.53418,pos,0.53418,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. AF20-18LB,0.53563,pos,0.53563,0,0
Acetatifactor sp. AF46-12NS,Lachnospiraceae gen. AF20-18LB,0.31006,pos,0.31006,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. AF20-18LB,0.55186,pos,0.55186,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. AF20-18LB,0.3339,pos,0.3339,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. AF20-18LB,0.36356,pos,0.36356,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. AF20-18LB,0.36782,pos,0.36782,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. AF20-18LB,0.44994,pos,0.44994,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. AF20-18LB,0.37806,pos,0.37806,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. AF20-18LB,0.31837,pos,0.31837,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. AF20-18LB,0.3908,pos,0.3908,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. AF20-18LB,0.39022,pos,0.39022,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. AF20-18LB,0.33875,pos,0.33875,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. AF20-18LB,0.59949,pos,0.59949,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. AF20-18LB,0.37892,pos,0.37892,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. AF20-18LB,0.40389,pos,0.40389,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. AF20-18LB,0.47049,pos,0.47049,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. AF20-18LB,0.45788,pos,0.45788,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. AF20-18LB,0.49363,pos,0.49363,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. AF20-18LB,0.35685,pos,0.35685,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. AF20-18LB,0.41031,pos,0.41031,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. AF20-18LB,0.37392,pos,0.37392,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. AF20-18LB,0.4607,pos,0.4607,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. AF20-18LB,0.42583,pos,0.42583,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. AF20-18LB,0.46824,pos,0.46824,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. AF20-18LB,0.4329,pos,0.4329,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. AF20-18LB,0.36823,pos,0.36823,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. AF20-18LB,0.35202,pos,0.35202,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. AF20-18LB,0.44869,pos,0.44869,0,0
Lachnospiraceae gen. 13414_6_70,Lachnospiraceae gen. AF20-18LB,0.72649,pos,0.72649,0,0
Lachnospiraceae gen. AF12-17LB,Lachnospiraceae gen. AF20-18LB,0.70622,pos,0.70622,0,0
