genome,species,sample,group,abundance,rank
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017714,ACVD,4.86E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017715,ACVD,0.000141909,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017716,ACVD,0.000312677,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017717,ACVD,2.53E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017718,ACVD,5.85E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017719,ACVD,6.21E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017720,ACVD,0.000140583,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017721,ACVD,6.14E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017722,ACVD,3.72E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017723,ACVD,3.27E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017724,ACVD,7.51E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017725,ACVD,1.08E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017726,ACVD,0.002143295,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017727,ACVD,9.70E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017728,ACVD,0.00021369,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017729,ACVD,2.38E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017730,ACVD,0.000232576,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017731,ACVD,5.75E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017732,ACVD,0.001291488,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017733,ACVD,1.23E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017734,ACVD,3.24E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017735,ACVD,0.00062897,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017736,ACVD,6.05E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017737,ACVD,6.55E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017738,ACVD,0.002561505,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017739,ACVD,0.000106687,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017740,ACVD,0.001812572,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017741,ACVD,1.94E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017742,ACVD,5.43E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017743,ACVD,0.000111225,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017744,ACVD,3.93E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017745,ACVD,0.000122107,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017746,ACVD,0.000893759,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017747,ACVD,0.00060826,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017748,ACVD,2.35E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017749,ACVD,3.06E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017750,ACVD,1.65E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017751,ACVD,5.50E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017752,ACVD,0.001165701,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017753,ACVD,8.07E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017754,ACVD,0.00029764,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017755,ACVD,3.86E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017756,ACVD,3.19E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017757,ACVD,0.000148978,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017759,ACVD,0.001626281,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017760,ACVD,9.76E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017761,ACVD,3.07E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017762,ACVD,3.16E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017763,ACVD,8.38E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017764,ACVD,0.000533232,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017765,ACVD,1.36E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017766,ACVD,3.01E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017767,ACVD,0.000655171,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017768,ACVD,5.65E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017769,ACVD,0.000103668,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017770,ACVD,0.002227775,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017771,ACVD,3.56E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017772,ACVD,6.04E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017773,ACVD,0.001750206,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017774,ACVD,4.07E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017775,ACVD,0.000715506,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017776,ACVD,0.000763452,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017777,ACVD,0.000175291,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017778,ACVD,9.67E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017779,ACVD,0.000503529,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017780,ACVD,1.62E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017781,ACVD,6.12E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017782,ACVD,7.13E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017783,ACVD,1.45E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017784,ACVD,9.11E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017785,ACVD,1.27E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017786,ACVD,0.000876368,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017788,ACVD,3.33E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017789,ACVD,1.20E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017790,ACVD,0.000402228,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017791,ACVD,2.27E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017792,ACVD,1.78E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017793,ACVD,7.28E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017794,ACVD,0.000584677,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017795,ACVD,0.001343139,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017796,ACVD,0.004410374,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017797,ACVD,8.56E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017798,ACVD,6.46E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017799,ACVD,7.10E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017800,ACVD,0.000289186,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017801,ACVD,0.000422094,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017802,ACVD,1.68E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017803,ACVD,2.68E-06,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017804,ACVD,0.000219854,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017805,ACVD,0.000528845,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017806,ACVD,1.96E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017807,ACVD,0.000234473,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017808,ACVD,4.39E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017809,ACVD,1.88E-05,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017810,ACVD,0.000315691,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017813,ACVD,0.000571793,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017814,ACVD,0.001477285,24
AF27-4BH,Ruminococcus_B gnavus AF27-4BH,ERR2017815,ACVD,0.001120686,24
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017411,control,3.58E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017412,control,3.48E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017413,control,0.000264248,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017414,control,0.000205491,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017415,control,6.87E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017416,control,6.54E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017417,control,7.00E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017418,control,2.60E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017419,control,2.02E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017420,control,7.65E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017421,control,4.05E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017422,control,6.58E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017423,control,6.81E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017424,control,0.000138746,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017426,control,7.96E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017427,control,2.93E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017428,control,7.39E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017429,control,5.11E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017430,control,9.80E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017431,control,6.92E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017432,control,3.33E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017433,control,5.00E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017434,control,0.00011785,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017435,control,7.02E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017436,control,3.41E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017437,control,7.47E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017438,control,9.28E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017439,control,0.000148649,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017440,control,4.66E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017441,control,0.000170115,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017442,control,7.28E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017443,control,3.05E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017444,control,3.80E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017445,control,0.000331344,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017446,control,0.000510623,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017447,control,3.23E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017448,control,7.51E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017449,control,1.82E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017450,control,8.01E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017451,control,5.10E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017452,control,6.19E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017453,control,4.67E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017454,control,5.53E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017455,control,0.000334438,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017456,control,1.33E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017457,control,5.58E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017458,control,9.15E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017459,control,4.72E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017460,control,3.85E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017461,control,0.001061759,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017462,control,7.60E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017463,control,3.82E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017464,control,7.92E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017465,control,2.73E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017466,control,0.000302144,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017467,control,8.24E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017468,control,5.22E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017469,control,0.000248251,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017470,control,0.000896312,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017471,control,1.10E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017472,control,2.66E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017473,control,0.000160907,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017474,control,2.20E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017475,control,2.41E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017476,control,1.06E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017477,control,0.000214234,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017478,control,7.25E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017479,control,2.02E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017481,control,1.54E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017482,control,0.000100835,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017483,control,7.14E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017484,control,0.000132315,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017485,control,0.000186601,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017486,control,3.84E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017487,control,0.000389265,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017489,control,0.000821365,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017490,control,4.55E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017491,control,1.83E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017494,control,2.79E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017495,control,4.50E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017499,control,2.47E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017500,control,0.000167168,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017503,control,2.26E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017504,control,5.78E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017506,control,0.000199136,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017507,control,1.86E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017508,control,2.63E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017510,control,0.000115097,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017512,control,0.000197463,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017513,control,0.000103186,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017514,control,2.65E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017515,control,8.19E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017516,control,3.45E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017517,control,4.97E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017518,control,3.46E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017519,control,3.09E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017520,control,1.98E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017521,control,2.83E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017522,control,0.0008837,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017523,control,0.00036753,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017524,control,0.000103039,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017525,control,8.01E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017526,control,0.000109647,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017527,control,8.07E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017528,control,3.71E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017529,control,2.54E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017530,control,8.02E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017531,control,0.000173064,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017532,control,5.69E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017533,control,0.00023612,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017534,control,2.86E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017535,control,0.000734412,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017536,control,0.00046332,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017537,control,0.001637885,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017538,control,2.77E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017539,control,7.07E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017540,control,8.89E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017541,control,1.55E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017542,control,8.25E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017543,control,0.000235738,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017544,control,6.54E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017545,control,4.83E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017546,control,0.000149241,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017547,control,5.70E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017548,control,0.000278129,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017549,control,2.35E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017550,control,0.000134535,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017551,control,9.97E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017552,control,1.52E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017553,control,0.000561076,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017554,control,2.73E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017555,control,0.000330774,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017556,control,2.17E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017557,control,2.36E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017558,control,2.60E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017559,control,2.92E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017560,control,6.31E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017561,control,7.22E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017562,control,4.57E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017563,control,3.47E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017564,control,8.84E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017565,control,9.21E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017566,control,1.96E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017567,control,1.44E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017568,control,1.57E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017569,control,1.49E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017570,control,0.002840817,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017571,control,5.22E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017572,control,0.000113278,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017573,control,0.000153976,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017574,control,7.06E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017575,control,3.57E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017576,control,4.98E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017577,control,0.000197554,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017578,control,2.48E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017579,control,1.22E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017580,control,0.000200789,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017581,control,4.36E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017584,control,6.64E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017586,control,0.000166676,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017587,control,2.90E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017588,control,8.05E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017589,control,0.020906341,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017590,control,0.00053558,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017591,control,7.33E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017592,control,4.43E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017593,control,6.38E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017594,control,6.60E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017595,control,0.000817358,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017596,control,8.85E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017597,control,0.000230002,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017598,ACVD,0.001442589,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017599,ACVD,2.51E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017600,ACVD,0.000509903,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017601,ACVD,0.000273523,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017602,ACVD,0.000495281,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017603,ACVD,0.001365533,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017604,ACVD,1.04E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017605,ACVD,0.000306626,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017606,ACVD,0.002357353,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017607,ACVD,0.000291206,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017608,ACVD,1.33E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017609,ACVD,0.001244752,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017610,ACVD,1.41E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017611,ACVD,0.001952089,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017612,ACVD,2.83E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017613,ACVD,0.000567082,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017614,ACVD,2.92E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017615,ACVD,0.005971233,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017616,ACVD,0.00342926,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017617,ACVD,0.004586861,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017618,ACVD,0.019095559,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017619,ACVD,5.08E-06,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017620,ACVD,4.06E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017621,ACVD,0.000100591,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017622,ACVD,9.62E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017623,ACVD,0.00039773,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017624,ACVD,0.001472617,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017625,ACVD,3.14E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017626,ACVD,3.86E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017627,ACVD,0.000156186,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017628,ACVD,0.000413125,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017629,ACVD,0.000106764,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017630,ACVD,0.000105672,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017631,ACVD,0.002305766,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017632,ACVD,2.73E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017633,ACVD,0.000146215,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017634,ACVD,2.94E-05,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017635,ACVD,0.000381518,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017636,ACVD,0.002602631,25
AM17-51,Ruminococcus_B gnavus AM17-51,ERR2017637,ACVD,0.000725301,25
