Pairs,ANI,16S,group,Pairs,cluster
GCA_015667985+25,86.622,95.264,N,GCA_015667985.fna,2
GCA_015668015+25,81.9046,96.028,N,GCA_015668015.fna,33
GCA_015668165+25,86.7396,95.416,N,GCA_015668165.fna,2
GCA_015668375+25,86.5737,95.264,N,GCA_015668375.fna,2
GCA_015669135+25,98.8319,95.649,16Sl,GCA_015669135.fna,245
GCA_015669755+25,87.1958,95.34,N,GCA_015669755.fna,2
GCA_015670615+25,86.7585,95.264,N,GCA_015670615.fna,2
GCA_016908695+25,82.8224,95.844,N,GCA_016908695.fna,3
GCA_018785565+25,81.9132,98.851,ANIl,GCA_018785565.fna,73
GCA_018785605+25,80.1997,99.135,ANIl,GCA_018785605.fna,74
GCA_018785655+25,81.5368,98.425,N,GCA_018785655.fna,57
GCA_900066085+25,82.7129,97.632,N,GCA_900066085.fna,57
GCA_900066145+25,81.5264,95.556,N,GCA_900066145.fna,59
GCA_900066165+25,81.2585,95.191,N,GCA_900066165.fna,3
GCA_900066205+25,82.4459,96.947,N,GCA_900066205.fna,57
GCA_900066325+25,81.7236,99.182,ANIl,GCA_900066325.fna,74
GCA_900066335+25,81.7686,97.021,N,GCA_900066335.fna,73
GCA_900066505+25,81.2232,95.271,N,GCA_900066505.fna,260
GCA_900066965+25,80.6799,96.296,N,GCA_900066965.fna,3
GCA_900078295+25,86.7289,95.344,N,GCA_900078295.fna,2
GCA_900120195+25,81.2448,95.951,N,GCA_900120195.fna,327
GCA_900638755+25,81.4308,97.706,N,GCA_900638755.fna,74
GCA_902167525+25,86.8735,96.204,N,GCA_902167525.fna,2
GCA_902167715+25,81.2033,96.198,N,GCA_902167715.fna,74
GCA_902167835+25,82.0146,96.18,N,GCA_902167835.fna,33
GCA_902167945+25,81.4103,97.066,N,GCA_902167945.fna,74
GCF_000159975+25,86.928,95.111,N,GCF_000159975.fna,2
IMG_650377968+25,82.4851,99.221,ANIl,IMG_650377968.fna,74
AM58-7XD+26,82.0207,96.99,N,AM58-7XD.fna,345
TF06-23+26,81.871,97.226,N,TF06-23.fna,2
AF13-28+26,81.8611,95.682,N,AF13-28.fna,345
AF13-37+26,82.0888,95.682,N,AF13-37.fna,345
AF14-23+26,98.1904,99.568,N,AF14-23.fna,33
AF14-5+26,81.7461,95.888,N,AF14-5.fna,2
AF14-52+26,98.2488,99.776,N,AF14-52.fna,33
AF17-12+26,82.7971,96.907,N,AF17-12.fna,74
AF17-22AC+26,85.0158,98.345,N,AF17-22AC.fna,327
AF19-10LB+26,84.3412,98.147,N,AF19-10LB.fna,72
AF19-29+26,83.0522,95.548,N,AF19-29.fna,2
AF20-12LB+26,83.5993,96.115,N,AF20-12LB.fna,74
AF21-24+26,98.2469,98.97,N,AF21-24.fna,33
AF21-3+26,81.5128,96.036,N,AF21-3.fna,345
AF24-10LB+26,98.1381,99.039,N,AF24-10LB.fna,33
AF24-32LB+26,81.725,96.489,N,AF24-32LB.fna,345
AF25-21+26,98.0259,99.108,N,AF25-21.fna,33
AF25-23LB+26,81.793,97.08,N,AF25-23LB.fna,2
AF25-28AC+26,81.643,95.579,N,AF25-28AC.fna,2
AF29-2BH+26,98.3017,99.108,N,AF29-2BH.fna,33
AF31-16BH+26,82.2418,95.5,N,AF31-16BH.fna,345
AF31-8BH+26,82.0798,95.354,N,AF31-8BH.fna,59
AF33-11BH+26,81.5982,96.21,N,AF33-11BH.fna,2
AF34-2BH+26,82.6157,95.956,N,AF34-2BH.fna,345
AF35-14AC+26,98.288,99.479,N,AF35-14AC.fna,33
AF37-6AC+26,98.3187,99.126,N,AF37-6AC.fna,33
AF37-6AT+26,82.4061,96.572,N,AF37-6AT.fna,345
AF39-4+26,98.3373,99.519,N,AF39-4.fna,33
AF41-9+26,83.6801,95.668,N,AF41-9.fna,359
AF42-9BH+26,81.7193,96.036,N,AF42-9BH.fna,345
AF45-4BH+26,84.7556,98.168,N,AF45-4BH.fna,327
AF46-10NS+26,83.2188,96.538,N,AF46-10NS.fna,360
AF58-2A+26,84.8111,98.038,N,AF58-2A.fna,98
AF60-20pH9A+26,85.0459,98.058,N,AF60-20pH9A.fna,98
AF61-21pH10TA+26,83.1843,94.863,N,AF61-21pH10TA.fna,74
AF76-10pH9T+26,81.9505,95.946,N,AF76-10pH9T.fna,73
AF84-09pH9TA+26,98.2986,99.176,N,AF84-09pH9TA.fna,33
AF87-14TA+26,84.296,96.401,N,AF87-14TA.fna,72
AF98-09+26,98.2624,99.265,N,AF98-09.fna,33
AF98-17+26,82.4183,96.193,N,AF98-17.fna,74
AF98-24+26,81.2804,96.605,N,AF98-24.fna,2
AF98-36+26,84.5244,98.147,N,AF98-36.fna,327
AF98-51+26,81.0194,96.073,N,AF98-51.fna,345
AF99-08+26,82.9013,96.183,N,AF99-08.fna,74
AF99-42+26,85.0143,97.941,N,AF99-42.fna,98
BF3HA18002+26,81.4761,96.721,N,BF3HA18002.fna,3
AM07-21+26,83.0382,95.61,N,AM07-21.fna,345
AM100-PB1-1D-29A+26,81.5881,95.522,N,AM100-PB1-1D-29A.fna,2
AM12-48+26,82.0488,96.347,N,AM12-48.fna,2
AM18-15+26,81.3212,95.888,N,AM18-15.fna,2
AM18-2AC+26,98.2881,99.209,N,AM18-2AC.fna,33
AM18-44+26,81.4484,95.478,N,AM18-44.fna,2
AM22-13+26,82.4859,95.953,N,AM22-13.fna,345
AM22-9LB+26,98.193,99.265,N,AM22-9LB.fna,33
AM23-1+26,82.3769,96.299,N,AM23-1.fna,74
AM23-1AC+26,82.4838,96.942,N,AM23-1AC.fna,74
AM23-1LB+26,81.5395,94.806,N,AM23-1LB.fna,2
AM23-4+26,82.3703,96.857,N,AM23-4.fna,74
AM26-12LB+26,82.2504,96.411,N,AM26-12LB.fna,74
AM27-16+26,81.4695,95,N,AM27-16.fna,2
AM27-32LB+26,98.3207,99.072,N,AM27-32LB.fna,33
AM27-34+26,98.3782,98.849,N,AM27-34.fna,33
AM28-23+26,84.6205,97.804,N,AM28-23.fna,98
AM28-41+26,82.3331,95.786,N,AM28-41.fna,345
AM29-12LB+26,82.7494,95.068,N,AM29-12LB.fna,2
AM29-25AC+26,98.0396,99.314,N,AM29-25AC.fna,33
AM29-26+26,82.0482,95.643,N,AM29-26.fna,345
AM30-15AC+26,81.5754,95.956,N,AM30-15AC.fna,345
AM32-10AC+26,85.1212,97.872,N,AM32-10AC.fna,98
AM32-17LB+26,81.8515,97.323,N,AM32-17LB.fna,2
AM34-12+26,98.4847,99.245,N,AM34-12.fna,33
AM34-9LB+26,81.2246,95.781,N,AM34-9LB.fna,2
AM36-17+26,81.8116,95.627,N,AM36-17.fna,2
AM36-2AA+26,82.8013,96.096,N,AM36-2AA.fna,73
AM36-5+26,82.6537,96.881,N,AM36-5.fna,73
AM37-4AC+26,98.3064,99.039,N,AM37-4AC.fna,33
AM39-5AC+26,98.2345,98.929,N,AM39-5AC.fna,33
AM40-10AC+26,81.958,95.38,N,AM40-10AC.fna,2
AM41-10BH+26,81.8884,96.291,N,AM41-10BH.fna,73
AM41-5+26,98.3151,99.609,N,AM41-5.fna,33
AM42-10AC+26,81.8672,95.751,N,AM42-10AC.fna,2
AM42-11+26,82.4622,96.809,N,AM42-11.fna,3
AM43-41+26,85.0338,98.058,N,AM43-41.fna,98
AM44-9AT+26,81.4869,97.08,N,AM44-9AT.fna,2
AM45-2+26,82.2037,96.607,N,AM45-2.fna,2
AM45-9BH+26,82.07,96.935,N,AM45-9BH.fna,2
AM46-18+26,82.0437,96.607,N,AM46-18.fna,2
AM50-15BH+26,82.724,95.503,N,AM50-15BH.fna,2
AM54-14NS+26,81.3881,96.606,N,AM54-14NS.fna,2
AM54-7NE+26,97.9588,98.678,N,AM54-7NE.fna,33
AM62-4ACA+26,82.9358,96.569,N,AM62-4ACA.fna,74
AM64-3MHA+26,82.9298,93.939,N,AM64-3MHA.fna,73
AM67-5ACA+26,82.6719,95.349,N,AM67-5ACA.fna,73
AM73-4pH9A+26,84.7453,97.804,N,AM73-4pH9A.fna,98
AM75-20pH9TA+26,83.2824,95.333,N,AM75-20pH9TA.fna,378
AM97-05+26,82.6288,95.968,N,AM97-05.fna,345
AM97-23+26,82.081,95.702,N,AM97-23.fna,74
AM97-71+26,83.1065,95.274,N,AM97-71.fna,74
LG100-20+26,82.8725,95.212,N,LG100-20.fna,74
OF02-6+26,82.9539,96.096,N,OF02-6.fna,74
OF03-14+26,98.2369,99.281,N,OF03-14.fna,33
OF03-6AA+26,82.4863,96.477,N,OF03-6AA.fna,73
OF15-11BHA+26,82.0293,96.036,N,OF15-11BHA.fna,345
OF24-11pH9A+26,84.8436,98.01,N,OF24-11pH9A.fna,327
OF30-10pH10A+26,81.8751,95.888,N,OF30-10pH10A.fna,345
OM02-16LB+26,81.3037,95.134,N,OM02-16LB.fna,2
OM03-6+26,98.3176,99.374,N,OM03-6.fna,33
OM05-7+26,81.7384,95.755,N,OM05-7.fna,2
OM06-11AA+26,98.3528,99.245,N,OM06-11AA.fna,33
OM07-19+26,84.5488,98.147,N,OM07-19.fna,72
OM08-7+26,80.7815,95.682,N,OM08-7.fna,345
OM08-9BH+26,81.6306,97.185,N,OM08-9BH.fna,73
OM14-6A+26,84.792,97.941,N,OM14-6A.fna,248
TF09-10AC+26,98.2197,99.245,N,TF09-10AC.fna,33
TF11-2AC+26,81.9562,95.753,N,TF11-2AC.fna,2
TM09-13AC+26,98.034,99.108,N,TM09-13AC.fna,33
TM09-4+26,81.5253,96.137,N,TM09-4.fna,2
TM10-9AT+26,81.2804,95.682,N,TM10-9AT.fna,345
AF21-42+26,81.9001,94.932,N,AF21-42.fna,245
1095771.3+26,82.064,96.9,N,1095771.3.fna,1
11861_6_57+26,81.8309,96.023,N,11861_6_57.fna,2
11861_6_58+26,82.3557,96.462,N,11861_6_58.fna,3
12718_7_36+26,79.4686,94.019,N,12718_7_36.fna,15
12718_7_63+26,79.4677,94.019,N,12718_7_63.fna,15
13414_6_65+26,97.4397,98.902,N,13414_6_65.fna,33
13414_6_66+26,84.6848,97.598,N,13414_6_66.fna,34
14207_7_33+26,81.6407,96.183,N,14207_7_33.fna,3
18048_1_59+26,81.9392,97.589,N,18048_1_59.fna,2
18048_1_72+26,98.4463,99.176,N,18048_1_72.fna,33
18048_2_59+26,81.6845,97.163,N,18048_2_59.fna,2
18048_2_72+26,98.3994,99.166,N,18048_2_72.fna,33
18048_2_88+26,82.2918,95.349,N,18048_2_88.fna,57
18391_1_1+26,81.6121,95.189,N,18391_1_1.fna,2
20287_6_28+26,83.4151,95.466,N,20287_6_28.fna,59
20287_6_32+26,98.3179,99.176,N,20287_6_32.fna,33
20287_6_36+26,97.5134,99.314,N,20287_6_36.fna,33
20287_6_41+26,98.3964,98.494,N,20287_6_41.fna,33
20287_6_48+26,83.346,95.466,N,20287_6_48.fna,59
20287_6_49+26,98.3686,98.494,N,20287_6_49.fna,33
20287_6_55+26,83.176,95.613,N,20287_6_55.fna,59
20287_6_56+26,98.4395,99.176,N,20287_6_56.fna,33
20287_6_62+26,83.4911,95.613,N,20287_6_62.fna,59
20287_6_72+26,81.0485,95.802,N,20287_6_72.fna,3
20287_6_76+26,98.3932,99.426,N,20287_6_76.fna,33
20287_6_91+26,79.6156,94.019,N,20287_6_91.fna,15
20298_3_81+26,79.5495,94.953,N,20298_3_81.fna,15
20427_4_28+26,79.6611,94.953,N,20427_4_28.fna,15
21673_4_19+26,83.8739,98.216,N,21673_4_19.fna,72
21673_4_31+26,98.3782,99.039,N,21673_4_31.fna,33
21673_4_38+26,82.0015,95.419,N,21673_4_38.fna,73
21673_4_53+26,81.5314,95.726,N,21673_4_53.fna,74
21673_4_60+26,84.4723,97.735,N,21673_4_60.fna,34
21673_4_81+26,81.1297,95.89,N,21673_4_81.fna,3
457412.4+26,81.187,95.616,N,457412.4.fna,2
657323.3+26,82.8064,97.429,N,657323.3.fna,74
GCA_000153905+26,100,99.108,N,GCA_000153905.fna,33
GCA_000210015+26,85.0933,97.97,N,GCA_000210015.fna,98
GCA_000466565+26,81.5896,96.557,N,GCA_000466565.fna,74
GCA_001404455+26,80.7836,96.594,N,GCA_001404455.fna,2
GCA_001404535+26,98.6632,99.776,N,GCA_001404535.fna,33
GCA_001404735+26,82.0824,95.151,N,GCA_001404735.fna,2
GCA_001404755+26,82.0519,95.208,N,GCA_001404755.fna,2
GCA_001404775+26,81.7945,97.331,N,GCA_001404775.fna,2
GCA_001405215+26,98.1148,99.108,N,GCA_001405215.fna,33
GCA_001405455+26,81.6568,96.591,N,GCA_001405455.fna,2
GCA_001487165+26,83.2416,96.436,N,GCA_001487165.fna,74
GCA_003324155+26,81.7819,96.573,N,GCA_003324155.fna,74
GCA_004167315+26,82.3247,97.006,N,GCA_004167315.fna,74
GCA_004167815+26,98.5022,99.567,N,GCA_004167815.fna,33
GCA_005844445+26,79.7171,94.106,N,GCA_005844445.fna,15
GCA_005845175+26,98.318,99.314,N,GCA_005845175.fna,33
GCA_005848555+26,83.8246,95.483,N,GCA_005848555.fna,74
GCA_009707925+26,82.8173,96.142,N,GCA_009707925.fna,245
GCA_009876855+26,82.322,95.753,N,GCA_009876855.fna,74
GCA_009876865+26,81.3572,96.184,N,GCA_009876865.fna,2
GCA_009876875+26,82.3953,96.225,N,GCA_009876875.fna,74
GCA_009876885+26,82.4247,97.006,N,GCA_009876885.fna,74
GCA_009876905+26,82.0952,97.163,N,GCA_009876905.fna,74
GCA_009881235+26,81.9396,95.751,N,GCA_009881235.fna,2
GCA_009881255+26,81.8926,96.254,N,GCA_009881255.fna,2
GCA_009881295+26,81.8512,96.254,N,GCA_009881295.fna,2
GCA_009881335+26,81.6797,96.254,N,GCA_009881335.fna,2
GCA_009881345+26,82.0143,96.182,N,GCA_009881345.fna,2
GCA_009881365+26,81.9179,96.254,N,GCA_009881365.fna,2
GCA_009881395+26,81.5969,95.315,N,GCA_009881395.fna,2
GCA_009881405+26,81.7352,95.46,N,GCA_009881405.fna,2
GCA_009881425+26,81.3499,96.254,N,GCA_009881425.fna,2
GCA_009881435+26,81.8955,96.254,N,GCA_009881435.fna,2
GCA_009881475+26,81.2528,96.04,N,GCA_009881475.fna,2
GCA_009881535+26,81.4679,96.112,N,GCA_009881535.fna,2
GCA_009882995+26,81.3667,96.037,N,GCA_009882995.fna,2
GCA_009883035+26,81.2122,96.04,N,GCA_009883035.fna,2
GCA_009883045+26,81.4568,95.411,N,GCA_009883045.fna,2
GCA_009883055+26,83.9338,98.01,N,GCA_009883055.fna,248
GCA_009883065+26,98.5037,99.245,N,GCA_009883065.fna,33
GCA_009883115+26,81.3206,96.112,N,GCA_009883115.fna,2
GCA_013299555+26,81.1873,96.591,N,GCA_013299555.fna,2
GCA_013299585+26,98.1175,99.176,N,GCA_013299585.fna,33
GCA_013299815+26,81.8579,95.753,N,GCA_013299815.fna,2
GCA_013299975+26,81.465,95.753,N,GCA_013299975.fna,2
GCA_013299995+26,80.8274,95.274,N,GCA_013299995.fna,2
GCA_013300045+26,81.022,95.199,N,GCA_013300045.fna,2
GCA_013300155+26,81.0419,96.811,N,GCA_013300155.fna,3
GCA_013300455+26,81.2006,96.591,N,GCA_013300455.fna,2
GCA_013300825+26,80.8869,96.594,N,GCA_013300825.fna,258
GCA_013300845+26,82.0851,96.287,N,GCA_013300845.fna,3
GCA_013300855+26,81.5619,96.494,N,GCA_013300855.fna,258
GCA_013301625+26,81.8939,95.753,N,GCA_013301625.fna,2
GCA_013301645+26,82.0744,97.491,N,GCA_013301645.fna,2
GCA_013301655+26,81.2232,96.38,N,GCA_013301655.fna,2
GCA_013301675+26,82.0322,95.733,N,GCA_013301675.fna,2
GCA_013301695+26,81.7963,95.753,N,GCA_013301695.fna,2
GCA_013301725+26,81.9101,95.753,N,GCA_013301725.fna,2
GCA_013301745+26,82.0362,97.073,N,GCA_013301745.fna,2
GCA_013301765+26,81.8253,95.753,N,GCA_013301765.fna,2
GCA_013301775+26,81.9847,95.753,N,GCA_013301775.fna,2
GCA_013301805+26,81.9713,95.411,N,GCA_013301805.fna,74
GCA_013301825+26,81.8965,95.753,N,GCA_013301825.fna,2
GCA_013301845+26,81.3384,95.753,N,GCA_013301845.fna,2
GCA_013301855+26,82.1109,95.753,N,GCA_013301855.fna,2
GCA_013301875+26,80.9615,95.669,N,GCA_013301875.fna,2
GCA_013301885+26,80.8039,95.293,N,GCA_013301885.fna,2
GCA_013301925+26,81.4223,95.753,N,GCA_013301925.fna,2
GCA_013301935+26,81.1752,96.591,N,GCA_013301935.fna,2
GCA_013301945+26,80.8472,96.523,N,GCA_013301945.fna,2
GCA_013301975+26,81.0637,95.916,N,GCA_013301975.fna,1
GCA_013301985+26,81.4335,95.619,N,GCA_013301985.fna,2
GCA_013302025+26,81.4418,96.401,N,GCA_013302025.fna,2
GCA_013302035+26,81.1663,95.616,N,GCA_013302035.fna,2
GCA_013302045+26,81.086,97.333,N,GCA_013302045.fna,2
GCA_013302085+26,81.4225,95.548,N,GCA_013302085.fna,2
GCA_013302095+26,81.0886,95.753,N,GCA_013302095.fna,2
GCA_013302125+26,81.4597,96.779,N,GCA_013302125.fna,2
GCA_013302135+26,81.0544,97.333,N,GCA_013302135.fna,2
GCA_013302195+26,98.3519,99.351,N,GCA_013302195.fna,33
GCA_013302215+26,98.2869,99.351,N,GCA_013302215.fna,33
GCA_013302245+26,83.6485,98.147,N,GCA_013302245.fna,72
GCA_013302255+26,84.1486,98.284,N,GCA_013302255.fna,72
GCA_013302285+26,82.1852,97.156,N,GCA_013302285.fna,74
GCA_013302295+26,82.173,96.235,N,GCA_013302295.fna,259
GCA_013302305+26,81.8398,97.905,N,GCA_013302305.fna,74
GCA_013302345+26,82.2601,96.421,N,GCA_013302345.fna,3
GCA_013302375+26,81.9619,96.586,N,GCA_013302375.fna,3
GCA_013302405+26,79.8376,93.904,N,GCA_013302405.fna,15
GCA_013302415+26,82.2266,96.987,N,GCA_013302415.fna,3
GCA_013304315+26,98.0044,99.314,N,GCA_013304315.fna,33
GCA_013304385+26,81.9693,95,N,GCA_013304385.fna,260
GCA_013304405+26,80.8021,95.685,N,GCA_013304405.fna,2
GCA_013304415+26,82.1339,96.69,N,GCA_013304415.fna,74
GCA_013304465+26,84.0339,98.01,N,GCA_013304465.fna,248
GCA_013304475+26,81.3076,97.394,N,GCA_013304475.fna,3
GCA_013304525+26,98.3678,99.245,N,GCA_013304525.fna,33
GCA_013304535+26,80.713,96.309,N,GCA_013304535.fna,2
GCA_013304625+26,80.6925,95.796,N,GCA_013304625.fna,2
GCA_013304685+26,81.1325,95.335,N,GCA_013304685.fna,2
GCA_013304735+26,82.4666,95.619,N,GCA_013304735.fna,57
GCA_013304785+26,80.7806,95.796,N,GCA_013304785.fna,2
GCA_013304825+26,82.0375,96.617,N,GCA_013304825.fna,259
GCA_013304845+26,82.5581,96.538,N,GCA_013304845.fna,259
GCA_013304855+26,80.7714,95.796,N,GCA_013304855.fna,2
GCA_013304875+26,82.3102,96.538,N,GCA_013304875.fna,259
GCA_013304885+26,82.352,96.927,N,GCA_013304885.fna,259
GCA_013304925+26,82.0794,96.538,N,GCA_013304925.fna,259
GCA_013304935+26,82.3951,96.617,N,GCA_013304935.fna,259
GCA_013304975+26,81.3839,96.642,N,GCA_013304975.fna,74
GCA_013305005+26,82.245,96.504,N,GCA_013305005.fna,74
GCA_013305025+26,82.0307,95.075,N,GCA_013305025.fna,74
GCA_013305035+26,81.7624,96.612,N,GCA_013305035.fna,74
GCA_013305045+26,81.7389,97.176,N,GCA_013305045.fna,74
GCA_013305055+26,82.2617,95.893,N,GCA_013305055.fna,74
GCA_013305105+26,82.3121,95.89,N,GCA_013305105.fna,57
GCA_013305115+26,80.9472,95.411,N,GCA_013305115.fna,59
GCA_013305155+26,81.1074,96.642,N,GCA_013305155.fna,74
GCA_013305165+26,81.8528,96.642,N,GCA_013305165.fna,74
GCA_013317245+26,82.1838,96.296,N,GCA_013317245.fna,73
GCA_013317255+26,82.0169,96.594,N,GCA_013317255.fna,57
GCA_014269345+26,82.5598,97.644,N,GCA_014269345.fna,74
GCA_014297245+26,81.9562,97.044,N,GCA_014297245.fna,1
GCA_014297355+26,84.7688,98.125,N,GCA_014297355.fna,98
GCA_014385375+26,81.6037,96.539,N,GCA_014385375.fna,3
GCA_015549355+26,80.8589,95.753,N,GCA_015549355.fna,2
GCA_015549855+26,82.5615,97.304,N,GCA_015549855.fna,74
GCA_015550855+26,81.3387,96.623,N,GCA_015550855.fna,2
GCA_015550985+26,81.517,96.254,N,GCA_015550985.fna,2
GCA_015551045+26,81.2155,95.685,N,GCA_015551045.fna,2
GCA_015552855+26,81.5702,95.688,N,GCA_015552855.fna,2
GCA_015554555+26,81.4837,96.254,N,GCA_015554555.fna,2
GCA_015556425+26,81.4612,95.616,N,GCA_015556425.fna,258
GCA_015560005+26,84.9508,97.804,N,GCA_015560005.fna,98
GCA_015560815+26,83.1553,96.372,N,GCA_015560815.fna,74
GCA_015561285+26,80.9416,95.753,N,GCA_015561285.fna,2
GCA_015667435+26,97.4486,99.039,N,GCA_015667435.fna,33
GCA_015667495+26,81.2434,95.752,N,GCA_015667495.fna,2
GCA_015667985+26,80.7668,96.254,N,GCA_015667985.fna,2
GCA_015668015+26,98.318,99.314,N,GCA_015668015.fna,33
GCA_015668165+26,81.4405,95.888,N,GCA_015668165.fna,2
GCA_015668375+26,81.4555,95.548,N,GCA_015668375.fna,2
GCA_015669135+26,82.1584,95.749,N,GCA_015669135.fna,245
GCA_015669755+26,80.8514,95.616,N,GCA_015669755.fna,2
GCA_015670615+26,81.4326,96.254,N,GCA_015670615.fna,2
GCA_016908695+26,83.0129,96.344,N,GCA_016908695.fna,3
GCA_018785565+26,81.5447,97.418,N,GCA_018785565.fna,73
GCA_018785605+26,80.0312,97.983,N,GCA_018785605.fna,74
GCA_018785655+26,81.6513,97.248,N,GCA_018785655.fna,57
GCA_900066085+26,82.7495,95.893,N,GCA_900066085.fna,57
GCA_900066145+26,82.1103,96.145,N,GCA_900066145.fna,59
GCA_900066165+26,81.8939,96.299,N,GCA_900066165.fna,3
GCA_900066205+26,82.36,95.349,N,GCA_900066205.fna,57
GCA_900066325+26,82.5521,96.935,N,GCA_900066325.fna,74
GCA_900066335+26,81.8252,95.89,N,GCA_900066335.fna,73
GCA_900066505+26,80.9535,94.997,N,GCA_900066505.fna,260
GCA_900066965+26,80.8187,97.209,N,GCA_900066965.fna,3
GCA_900078295+26,81.7958,95.065,N,GCA_900078295.fna,2
GCA_900120195+26,84.7299,98.147,N,GCA_900120195.fna,327
GCA_900638755+26,81.7787,96.025,N,GCA_900638755.fna,74
GCA_902167525+26,81.2228,95.522,N,GCA_902167525.fna,2
GCA_902167715+26,81.4936,95.727,N,GCA_902167715.fna,74
GCA_902167835+26,97.1911,99.4,N,GCA_902167835.fna,33
GCA_902167945+26,81.147,96.299,N,GCA_902167945.fna,74
GCF_000159975+26,81.1587,95.003,N,GCF_000159975.fna,2
IMG_650377968+26,82.8064,97.429,N,IMG_650377968.fna,74
AF13-16+27,85.8345,93.305,N,AF13-16.fna,64
AF94-01pH10A+27,78.722,90.28,N,AF94-01pH10A.fna,261
AM25-40+27,78.0703,90.497,N,AM25-40.fna,95
AM75-12pH9A+27,78.9639,90.17,N,AM75-12pH9A.fna,261
OF01-4LB+27,85.8768,93.377,N,OF01-4LB.fna,64
OF42-13pH9A+27,77.8603,90.137,N,OF42-13pH9A.fna,63
1232442.3+27,98.0165,93.939,N,1232442.3.fna,8
20298_3_48+27,85.8346,93.017,N,20298_3_48.fna,64
8080_1_72+27,97.6154,94.052,N,8080_1_72.fna,8
GCA_000765245+27,85.8539,93.162,N,GCA_000765245.fna,64
GCA_001689125+27,85.4198,92.657,N,GCA_001689125.fna,192
GCA_002221555+27,85.3932,92.585,N,GCA_002221555.fna,192
GCA_002270465+27,84.9217,93.089,N,GCA_002270465.fna,214
GCA_002915535+27,85.7789,93.377,N,GCA_002915535.fna,64
GCA_003287895+27,78.7106,89.534,N,GCA_003287895.fna,223
GCA_004210255+27,97.4457,94.164,N,GCA_004210255.fna,8
GCA_004340925+27,98.043,94.35,N,GCA_004340925.fna,8
GCA_010669205+27,99.9956,94.164,N,GCA_010669205.fna,8
GCA_013112015+27,85.4999,92.657,N,GCA_013112015.fna,192
GCA_013304445+27,78.0106,89.863,N,GCA_013304445.fna,261
GCA_014131715+27,100,94.38,N,GCA_014131715.fna,8
GCA_014287615+27,85.6924,93.614,N,GCA_014287615.fna,64
GCA_900258535+27,85.1219,93.022,N,GCA_900258535.fna,214
GCA_900461125+27,97.9713,94.164,N,GCA_900461125.fna,8
AM26-12LB+28,78.5299,95.21,N,AM26-12LB.fna,74
AM75-20pH9TA+28,78.5206,95.074,N,AM75-20pH9TA.fna,378
12718_7_36+28,78.5872,96.046,N,12718_7_36.fna,15
12718_7_63+28,78.4154,96.046,N,12718_7_63.fna,15
20287_6_91+28,78.5,96.046,N,20287_6_91.fna,15
20298_3_81+28,78.3983,95.114,N,20298_3_81.fna,15
20427_4_28+28,78.5003,95.114,N,20427_4_28.fna,15
GCA_005844445+28,78.5647,95.884,N,GCA_005844445.fna,15
GCA_009876855+28,78.9438,94.272,N,GCA_009876855.fna,74
GCA_013302405+28,78.2256,95.547,N,GCA_013302405.fna,15
GCA_013305045+28,79.1043,96.529,N,GCA_013305045.fna,74
GCA_013305155+28,78.6553,94.276,N,GCA_013305155.fna,74
GCA_018785605+28,78.3193,97.262,N,GCA_018785605.fna,74
AM58-7XD+29,88.1781,97.951,N,AM58-7XD.fna,345
TF06-23+29,96.962,99.708,N,TF06-23.fna,2
AF07-16B+29,80.7519,93.203,N,AF07-16B.fna,221
AF13-28+29,88.9362,97.915,N,AF13-28.fna,345
AF13-37+29,89.0846,97.915,N,AF13-37.fna,345
AF14-23+29,82.5928,96.043,N,AF14-23.fna,33
AF14-5+29,96.4938,99.166,N,AF14-5.fna,2
AF14-52+29,82.2988,96.296,N,AF14-52.fna,33
AF17-12+29,81.225,96.641,N,AF17-12.fna,74
AF17-22AC+29,82.5186,95.464,N,AF17-22AC.fna,327
AF19-10LB+29,81.1318,95.83,N,AF19-10LB.fna,72
AF19-29+29,97.0347,99.444,N,AF19-29.fna,2
AF19-34+29,81.1611,93.309,N,AF19-34.fna,221
AF20-12LB+29,82.5195,96.621,N,AF20-12LB.fna,74
AF21-24+29,81.5837,95.205,N,AF21-24.fna,33
AF21-3+29,88.181,97.91,N,AF21-3.fna,345
AF24-10LB+29,81.3947,95.274,N,AF24-10LB.fna,33
AF24-32LB+29,88.4717,98.096,N,AF24-32LB.fna,345
AF25-21+29,81.628,95.066,N,AF25-21.fna,33
AF25-23LB+29,96.8926,99.275,N,AF25-23LB.fna,2
AF25-28AC+29,96.6903,99.139,N,AF25-28AC.fna,2
AF29-2BH+29,81.4931,95.344,N,AF29-2BH.fna,33
AF31-16BH+29,88.0555,98.188,N,AF31-16BH.fna,345
AF31-8BH+29,82.6883,94.993,N,AF31-8BH.fna,59
AF33-11BH+29,97.2816,99.489,N,AF33-11BH.fna,2
AF34-2BH+29,88.0991,97.707,N,AF34-2BH.fna,345
AF35-14AC+29,83.0246,95.106,N,AF35-14AC.fna,33
AF37-6AC+29,82.2983,95.252,N,AF37-6AC.fna,33
AF37-6AT+29,88.1884,98.819,ANIl,AF37-6AT.fna,345
AF39-4+29,81.165,96.755,N,AF39-4.fna,33
AF41-9+29,86.2849,98.374,N,AF41-9.fna,359
AF42-9BH+29,88.6625,97.157,N,AF42-9BH.fna,345
AF45-4BH+29,80.9232,94.996,N,AF45-4BH.fna,327
AF46-10NS+29,80.6353,95.226,N,AF46-10NS.fna,360
