genome,species,sample,group,abundance,rank
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA26BL,control,4.46E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA26BN,control,3.03E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA26BT,control,1.51E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA26BV,control,0.000271827,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA26DG,control,0.000214067,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA26DK,control,0.000151013,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMAPC5H,control,0.000490958,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMAPC6M,control,6.76E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMAPC6O,control,3.98E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMAPC7P,control,1.59E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMB4LXS,control,0.000102349,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMB4LZV,control,7.65E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMB4LZZ,control,3.45E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM6XBTR,control,2.67E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM6XBTT,control,0.000193158,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM6XBTX,control,7.95E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM6XBTZ_P,control,7.09E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM6XBU2,control,0.000275301,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM6XBW1_P,control,0.001017992,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM6XBW3,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J156,control,6.78E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J15K,control,0.000205896,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J15M,control,0.000326361,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J15U,control,0.000166657,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J16U,control,0.000187352,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J16W,control,8.54E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J173,control,9.14E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J19R,control,0.000375586,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J19T,control,6.10E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J19X_P,control,2.13E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J19Z,control,2.05E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J1A4,control,9.02E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J1A8,control,2.55E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J1DF,control,0.000274388,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSM7J1DL,control,0.0002089,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSMA265D,control,0.000152963,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,PSMA265J_TR,control,0.000152169,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6UG73,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6X9W7,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6XSKY,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6Y2UU,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6Y87K,control,0.000429685,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6ZEUL,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6ZEUX,control,1.20E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6ZJI3,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6ZKRY,control,0.000126207,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6ZT2P,control,0.000364547,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-6ZUH3,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-71ZVB,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-72ZHH,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-7ED9S,control,2.05E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-7I1FP,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-7IWEQ,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-7IWFB,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-7M8RE,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A1C88,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A2HYL,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A373Q,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A3J7G,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A47RR,control,0.001211889,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A4UVS,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A5A1P,control,3.93E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A8GSK,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A8GSW,control,0.000403072,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A8MJR,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-A9F52,control,0.000118386,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-AAHYG,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-AF6MH,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-AI38I,control,0.000114046,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-AKTYG,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,SM-ARGG8,control,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5FZ4A_P,UC,4.92E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5FZ4E_P,UC,4.55E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5FZ4G_P,UC,0.000160445,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5FZ4K_P,UC,0.000276949,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCTZ_P,UC,4.01E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCU8_P,UC,9.24E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUA_P,UC,2.56E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUC_P,UC,3.90E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUE_P,UC,9.36E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUG_P,UC,5.27E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUK_P,UC,4.35E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUQ_P,UC,8.56E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUS_P,UC,3.05E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUW_P,UC,6.55E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCUY_P,UC,1.55E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCWM_P,UC,6.70E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCXB_P,UC,4.24E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCYI_P,UC,1.59E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCYM_P,UC,2.77E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCYO_P,UC,6.97E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCYQ_P,UC,3.65E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM5MCYU_P,UC,0.000294648,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67U9H_P,UC,1.27E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67U9N,UC,0.000389648,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67U9P_P,UC,3.84E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67U9R_P,UC,2.27E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67U9T_P,UC,1.93E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UAO,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UAQ,UC,2.55E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UAS,UC,1.56E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UBX,UC,8.66E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UDR_TR,UC,5.86E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UE3,UC,6.19E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UEM,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UEP_P,UC,4.45E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UET_P,UC,9.66E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UEW_P,UC,0.000558737,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UEW_TR,UC,0.000852909,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UF1,UC,0.000167057,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UF1_P,UC,0.000113562,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UFV,UC,7.29E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM67UG8,UC,9.87E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HGD_P,UC,1.52E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HGF_P,UC,8.17E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HGH_P,UC,2.73E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HGJ_P,UC,4.17E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HGL_P,UC,1.93E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HGN_P,UC,1.44E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HIF,UC,3.59E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HIH,UC,2.04E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HIJ,UC,5.27E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HIL,UC,3.11E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HLA_TR,UC,1.24E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HLI,UC,5.22E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HLK,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HLM,UC,0.000122887,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HM1,UC,0.000238335,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HM5_P,UC,7.26E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HM7,UC,0.00011373,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HM9_P,UC,8.61E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HMN,UC,0.000172352,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HMP,UC,0.000166494,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HNE,UC,7.80E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HNG_P,UC,3.00E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HNI,UC,1.59E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HNK,UC,1.43E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HNM,UC,1.58E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HPM_P,UC,6.40E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HPO,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HPQ_P,UC,5.37E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HPU,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HQR_P,UC,0.000189061,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM79HQT_P,UC,0.000129232,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOJQ,UC,3.69E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOJS,UC,3.47E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOJU,UC,4.65E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOJW,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOJY,UC,1.85E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOK1,UC,3.34E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOLY,UC,1.66E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOMR_P,UC,0.000180884,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOMV_P,UC,0.000116097,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KONS_P,UC,2.84E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KONW_P,UC,2.66E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOP6,UC,1.12E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOP8,UC,9.59E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOPE,UC,0.000231423,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOPG,UC,4.30E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOPK,UC,4.78E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOPM,UC,6.25E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOPO,UC,5.98E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOQ5_P,UC,4.16E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KORS,UC,7.51E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOS7,UC,2.69E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOSH,UC,1.82E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOU7_P,UC,1.74E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOUB,UC,2.13E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOUJ_P,UC,2.85E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM7KOUN,UC,0.000333109,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X1XU,UC,5.01E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X1Y5,UC,2.94E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X1ZO,UC,5.79E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X1ZQ,UC,5.18E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X1ZY,UC,5.39E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X211,UC,8.58E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X213,UC,0.000242489,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X215,UC,0.000130798,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X219,UC,0.000184169,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X21L,UC,4.95E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X21N,UC,2.57E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X22G,UC,4.50E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X22I,UC,2.43E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X23H,UC,0.00022925,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,CSM9X23N,UC,4.00E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5GEZ4_P,UC,5.12E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5GEZ6_P,UC,7.37E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5GEZA_P,UC,5.64E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEA7_P,UC,3.04E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEA9_P,UC,1.30E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEAB_P,UC,6.57E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEC3,UC,9.48E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEC5,UC,5.31E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEC7_P,UC,7.74E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEC9,UC,2.45E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEDU,UC,6.79E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM5MEEJ_P,UC,5.59E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,ESM718SY,UC,7.08E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM5MD43_P,UC,6.81E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM5MD44_P,UC,5.01E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM5MD47_P,UC,2.97E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM5MD87_P,UC,1.63E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM6XRQE_P,UC,6.10E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM6XRRD,UC,1.71E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM6XRTO,UC,7.63E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM6XRTS,UC,0.000246215,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM6XRUX,UC,8.46E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM6XRUZ,UC,0.000102924,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM6XRV2,UC,9.49E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7CZ1T_P,UC,2.78E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7CZ22,UC,7.39E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7CZ2X_P,UC,4.55E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4GP,UC,1.78E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4JT_P,UC,1.19E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4JV_P,UC,1.10E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4KA,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4M4,UC,7.55E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4M6,UC,0.000208125,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4ME,UC,0.000117738,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4NC,UC,1.55E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4NM,UC,1.38E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4PC,UC,0.000278593,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4PE,UC,7.37E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4PG,UC,0.000165971,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSM7J4PK,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33IO,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33IS,UC,7.37E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33LH_TR,UC,3.50E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33LX,UC,0.000147838,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33LZ,UC,2.12E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33MC,UC,2.00E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33MI,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33MX,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33N4,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33NW,UC,5.53E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33O1,UC,1.31E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33O3,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33OL,UC,1.80E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33OP,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33OX,UC,2.98E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33P2_P,UC,1.73E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33RR,UC,3.92E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,HSMA33RX_TR,UC,5.83E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM5LLFK_P,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM5LLFM_P,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM5LLFO_P,UC,4.25E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM5LLFU_P,UC,3.16E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM5LLHV_P,UC,1.32E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM5LLIQ_P,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2HD,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2HF,UC,5.13E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2HH,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2HJ,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2HL,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2N6_P,UC,4.35E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2OH,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2OJ,UC,1.52E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2OL,UC,5.45E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM6J2ON,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79H7M,UC,1.18E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79H9U_P,UC,2.24E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HAN,UC,0.000285851,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HAR,UC,0.000113239,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HAT,UC,6.44E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HBZ,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HD6_P,UC,5.05E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HD8_P,UC,8.71E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HDG_TR,UC,3.75E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HEA,UC,8.99E-06,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HF1_P,UC,0.000142391,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HF3,UC,0.000191697,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HF7,UC,0.000167955,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HF9_TR,UC,4.93E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM79HFB,UC,0.000368942,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZF5,UC,0.000194237,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZIO,UC,6.19E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZIS,UC,3.13E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZIU,UC,5.05E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZIW,UC,5.04E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZJF_P,UC,0.000272448,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZLL,UC,4.30E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZLR,UC,0.000285118,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZLZ,UC,0,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZN4_P,UC,0.000202415,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZNR,UC,2.68E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZNZ,UC,4.11E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSM9VZO2,UC,1.80E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA267X,UC,0.000366835,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA2684,UC,0.000171451,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA2688,UC,9.92E-05,11
GCA_900066985,Lachnospiraceae gen. GCA_900066985,MSMA26AX,UC,2.30E-05,11
