cluster,Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,type
19,GCA_000020605,AM26-2LB,81.5,[78.6 - 84%],0.0217,91.64,know
19,GCA_000020605,AM29-10,72,[68.9 - 74.8%],0.0334,81.61,know
19,GCA_000020605,AM30-13AC,79.7,[76.8 - 82.4%],0.0237,90.37,know
19,GCA_000020605,AM31-7AC,81.5,[78.7 - 84.1%],0.0216,91.7,know
19,GCA_000020605,AM36-3AA,72.9,[69.9 - 75.7%],0.0322,82.97,know
19,GCA_000020605,AM42-1,81.4,[78.5 - 83.9%],0.0218,91.58,know
19,GCA_000020605,AM42-17AT,81.5,[78.6 - 84%],0.0216,91.65,know
19,GCA_000020605,AM44-1AT,80.1,[77.2 - 82.8%],0.0232,90.7,know
19,GCA_000020605,AM44-2AT,79.8,[76.9 - 82.4%],0.0236,90.42,know
19,GCA_000020605,AM47-6BH,73.5,[70.5 - 76.3%],0.0314,83.85,know
19,GCA_000020605,AM48-7,78.8,[75.8 - 81.4%],0.0248,89.57,know
19,GCA_000020605,AM54-25XD,79.8,[76.9 - 82.5%],0.0236,90.45,know
19,GCA_000020605,AM97-21,78.1,[75.1 - 80.8%],0.0256,88.99,know
19,GCA_000020605,GCA_000209935,82.9,[80.1 - 85.4%],0.02,92.58,know
19,GCA_000020605,GCA_000209955,81.3,[78.5 - 83.9%],0.0218,91.57,know
19,GCA_000020605,GCA_001404855,83.3,[80.5 - 85.8%],0.0195,92.82,know
19,GCA_000020605,GCA_001405295,77.8,[74.8 - 80.5%],0.026,88.67,know
19,GCA_000020605,GCA_001406375,82.8,[79.9 - 85.3%],0.0201,92.49,know
19,GCA_000020605,GCA_001406835,77.9,[74.9 - 80.6%],0.0259,88.79,know
19,GCA_000020605,GCA_003122495,76.2,[73.2 - 79%],0.0279,87.13,know
11,GCA_002234575,1232448.3,76.7,[73.8 - 79.5%],0.0273,87.68,know
11,GCA_002234575,1232450.3,76.4,[73.4 - 79.2%],0.0277,87.35,know
11,GCA_002234575,AF14-18,92.8,[90.9 - 94.4%],0.009,96.66,know
11,GCA_002234575,AF24-13,93.6,[91.7 - 95%],0.0082,96.85,know
11,GCA_002234575,AF27-9,92.9,[90.9 - 94.5%],0.009,96.67,know
11,GCA_002234575,AF31-1,75.7,[72.7 - 78.5%],0.0286,86.55,know
11,GCA_002234575,AM07-19,76.4,[73.5 - 79.2%],0.0277,87.37,know
11,GCA_002234575,AM27-28LB,93.8,[91.9 - 95.2%],0.008,96.9,know
11,GCA_002234575,AM35-14,92.3,[90.3 - 94%],0.0096,96.52,know
11,GCA_002234575,AM60-12MH-1A,93.1,[91.1 - 94.6%],0.0088,96.72,know
11,GCA_002234575,GCA_000371525,77.3,[74.3 - 80%],0.0266,88.23,know
11,GCA_002234575,GCA_000371645,92.2,[90.1 - 93.8%],0.0097,96.47,know
11,GCA_002234575,GCA_000371665,99.2,[98.8 - 99.5%],0.0014,98.11,know
11,GCA_002234575,GCA_000371685,75.4,[72.4 - 78.2%],0.0289,86.27,know
11,GCA_002234575,GCA_000371705,75.1,[72 - 77.8%],0.0294,85.81,know
11,GCA_002234575,GCA_000371725,99.3,[98.9 - 99.5%],0.0013,98.12,know
11,GCA_002234575,GCA_001078425,100,[99.9 - 100%],0.0001,98.29,know
11,GCA_002234575,GCA_013112035,77,[74 - 79.7%],0.027,87.9,know
11,GCA_002234575,GCA_015547745,93.4,[91.5 - 94.9%],0.0084,96.8,know
11,GCA_002234575,GCA_015551555,99.4,[99 - 99.6%],0.0012,98.14,know
11,GCA_002234575,GCA_015556085,76.7,[73.7 - 79.5%],0.0273,87.65,know
11,GCA_002234575,GCA_015557875,88.9,[86.5 - 90.9%],0.0133,95.41,know
11,GCA_002234575,GCA_015558345,77,[74 - 79.7%],0.027,87.89,know
11,GCA_002234575,GCA_016889665,100,[100 - 100%],0,98.3,know
11,GCA_002234575,GCF_000154365,99.9,[99.9 - 100%],0.0002,98.27,know
11,GCA_002234575,OF13-16,92.7,[90.8 - 94.3%],0.0091,96.63,know
11,GCA_002234575,TF09-4AC,92.5,[90.5 - 94.1%],0.0094,96.57,know
19,GCA_000020605,GCA_005844305,80.5,[77.5 - 83.1%],0.0228,90.94,know
19,GCA_000020605,GCA_008122485,81.4,[78.5 - 84%],0.0217,91.6,know
19,GCA_000020605,GCA_008123415,78.2,[75.3 - 80.9%],0.0255,89.11,know
19,GCA_000020605,GCA_009680175,78,[75 - 80.7%],0.0258,88.85,know
19,GCA_000020605,GCA_009680195,83.3,[80.5 - 85.8%],0.0196,92.79,know
19,GCA_000020605,GCA_009680205,78,[75 - 80.7%],0.0258,88.85,know
19,GCA_000020605,GCA_009680235,78,[75 - 80.7%],0.0257,88.9,know
19,GCA_000020605,GCA_009680245,77.9,[74.9 - 80.6%],0.0259,88.8,know
19,GCA_000020605,GCA_009680275,78,[75.1 - 80.8%],0.0257,88.94,know
19,GCA_000020605,GCA_009680285,78.1,[75.1 - 80.8%],0.0257,88.96,know
19,GCA_000020605,GCA_009680315,77.9,[74.9 - 80.6%],0.0259,88.82,know
19,GCA_000020605,GCA_009680335,77.9,[75 - 80.6%],0.0258,88.83,know
19,GCA_000020605,GCA_009680355,77.9,[75 - 80.6%],0.0258,88.84,know
19,GCA_000020605,GCA_009680365,78,[75.1 - 80.7%],0.0257,88.93,know
19,GCA_000020605,GCA_009680395,78,[75 - 80.7%],0.0258,88.88,know
19,GCA_000020605,GCA_013299645,82.8,[80 - 85.3%],0.0201,92.53,know
19,GCA_000020605,GCA_013299655,82.8,[80 - 85.4%],0.02,92.54,know
19,GCA_000020605,GCA_013299675,82.8,[80 - 85.3%],0.0201,92.51,know
19,GCA_000020605,GCA_013299805,81.4,[78.5 - 84%],0.0217,91.61,know
19,GCA_000020605,GCA_013300505,82.8,[80 - 85.3%],0.0201,92.52,know
19,GCA_000020605,GCA_013300555,82.8,[80 - 85.3%],0.0201,92.53,know
19,GCA_000020605,GCA_013300575,82.8,[79.9 - 85.3%],0.0201,92.5,know
19,GCA_000020605,GCA_013300625,82.8,[80 - 85.3%],0.0201,92.53,know
19,GCA_000020605,GCA_013300655,82.8,[80 - 85.3%],0.0201,92.53,know
19,GCA_000020605,GCA_013300675,82.8,[80 - 85.3%],0.0201,92.53,know
19,GCA_000020605,GCA_013300775,81.4,[78.5 - 84%],0.0217,91.6,know
19,GCA_000020605,GCA_013303775,78.6,[75.6 - 81.3%],0.025,89.42,know
19,GCA_000020605,GCA_013303785,81.6,[78.7 - 84.2%],0.0215,91.76,know
19,GCA_000020605,GCA_013303845,78.1,[75.2 - 80.8%],0.0256,89.02,know
19,GCA_000020605,GCA_013303865,81.6,[78.8 - 84.2%],0.0214,91.76,know
19,GCA_000020605,GCA_013303875,81.6,[78.7 - 84.2%],0.0215,91.74,know
19,GCA_000020605,GCA_013303885,81.6,[78.7 - 84.2%],0.0215,91.76,know
19,GCA_000020605,GCA_013303905,81.6,[78.7 - 84.2%],0.0215,91.73,know
19,GCA_000020605,GCA_013303945,81.6,[78.7 - 84.2%],0.0215,91.75,know
19,GCA_000020605,GCA_013303965,78.6,[75.7 - 81.3%],0.025,89.46,know
19,GCA_000020605,GCA_013303995,78.5,[75.5 - 81.2%],0.0252,89.34,know
19,GCA_000020605,GCA_013304025,78.4,[75.5 - 81.1%],0.0252,89.29,know
19,GCA_000020605,GCA_013304035,78.6,[75.6 - 81.3%],0.025,89.44,know
19,GCA_000020605,GCA_015550775,80.5,[77.5 - 83.1%],0.0228,90.94,know
19,GCA_000020605,GCA_015551295,80.9,[78 - 83.5%],0.0222,91.29,know
19,GCA_000020605,GCA_015553565,83.1,[80.3 - 85.6%],0.0198,92.68,know
19,GCA_000020605,GCA_015554585,82.5,[79.7 - 85%],0.0204,92.34,know
19,GCA_000020605,GCA_015557515,78.2,[75.3 - 80.9%],0.0255,89.11,know
19,GCA_000020605,GCA_015559035,81.2,[78.3 - 83.8%],0.022,91.45,know
19,GCA_000020605,GCA_015560015,81.7,[78.8 - 84.2%],0.0214,91.78,know
19,GCA_000020605,GCA_015669665,82.5,[79.7 - 85%],0.0204,92.34,know
19,GCA_000020605,GCA_018784685,78.2,[75.2 - 80.9%],0.0255,89.07,know
19,GCA_000020605,GCA_018784725,80.7,[77.8 - 83.3%],0.0225,91.12,know
19,GCA_000020605,OM05-3AA,81.4,[78.5 - 84%],0.0217,91.6,know
19,GCA_000020605,OM05-6AA,81.4,[78.5 - 84%],0.0217,91.6,know
19,GCA_000020605,OM05-8AA,81.4,[78.5 - 83.9%],0.0218,91.58,know
19,GCA_000020605,OM07-13,73.6,[70.6 - 76.4%],0.0313,83.98,know
19,GCA_000020605,OM08-12AT,73.3,[70.3 - 76.1%],0.0316,83.59,know
19,GCA_000020605,TF11-15AC,72.5,[69.5 - 75.3%],0.0327,82.4,know
19,GCA_000020605,TM10-3,77.5,[74.5 - 80.2%],0.0264,88.4,know
21,GCA_000173975,12718_7_76,91.6,[89.4 - 93.3%],0.0104,96.29,know
21,GCA_000173975,12718_7_83,99.8,[99.7 - 99.9%],0.0004,98.25,know
21,GCA_000173975,13414_6_29,90.8,[88.6 - 92.7%],0.0112,96.07,know
21,GCA_000173975,14207_7_6,89.7,[87.4 - 91.7%],0.0124,95.71,know
21,GCA_000173975,AF31-17AC,85.9,[83.3 - 88.2%],0.0166,94.17,know
21,GCA_000173975,AF45-14BH,87.9,[85.4 - 90%],0.0144,95.02,know
21,GCA_000173975,AM34-3LB,84.2,[81.4 - 86.6%],0.0186,93.29,know
21,GCA_000173975,AM48-23BH,88.5,[86 - 90.5%],0.0138,95.24,know
21,GCA_000173975,AM59-17XD-r,88,[85.5 - 90.2%],0.0143,95.08,know
21,GCA_000173975,GCA_001405175,89,[86.6 - 91.1%],0.0132,95.46,know
21,GCA_000173975,GCA_001406155,90.5,[88.3 - 92.4%],0.0115,95.98,know
21,GCA_000173975,GCA_016586395,89.1,[86.7 - 91.1%],0.0131,95.47,know
21,GCA_000173975,GCA_018140635,99.8,[99.7 - 99.9%],0.0004,98.25,know
21,GCA_000173975,TM10-1AC,84.1,[81.3 - 86.5%],0.0186,93.25,know
20,GCA_900537995,12718_7_64,86,[83.3 - 88.3%],0.0165,94.21,know
20,GCA_900537995,20287_6_44,85.5,[82.8 - 87.8%],0.0171,93.98,know
20,GCA_900537995,AF31-21AC,84.4,[81.7 - 86.8%],0.0183,93.44,know
20,GCA_900537995,AF36-10AT,87,[84.4 - 89.2%],0.0154,94.66,know
20,GCA_900537995,AM22-21LB,84.1,[81.4 - 86.5%],0.0186,93.27,know
20,GCA_900537995,AM37-1AC,84.3,[81.5 - 86.7%],0.0184,93.36,know
20,GCA_900537995,AM43-11,83,[80.2 - 85.5%],0.0199,92.63,know
20,GCA_900537995,AM62-3A,86,[83.4 - 88.3%],0.0165,94.22,know
20,GCA_900537995,GCA_000209995,87,[84.4 - 89.2%],0.0155,94.64,know
20,GCA_900537995,GCA_000210655,85.8,[83.2 - 88.1%],0.0167,94.13,know
20,GCA_900537995,GCA_001406435,86.2,[83.5 - 88.5%],0.0163,94.3,know
20,GCA_900537995,GCA_009718345,86.5,[83.9 - 88.8%],0.016,94.44,know
20,GCA_900537995,GCA_009759525,85.3,[82.6 - 87.6%],0.0173,93.88,know
20,GCA_900537995,GCA_013300445,87.9,[85.4 - 90.1%],0.0144,95.05,know
20,GCA_900537995,GCA_015554785,87.1,[84.6 - 89.3%],0.0153,94.72,know
20,GCA_900537995,GCA_015555785,87.5,[84.9 - 89.6%],0.0149,94.85,know
20,GCA_900537995,GCF_000156535,99.8,[99.7 - 99.9%],0.0004,98.24,know
23,GCA_000209405,12718_7_86,97,[95.9 - 97.8%],0.0043,97.65,know
23,GCA_000209405,13414_6_30,97.1,[96 - 97.9%],0.0042,97.67,know
23,GCA_000209405,18048_1_83,97.4,[96.4 - 98.2%],0.0038,97.73,know
23,GCA_000209405,18048_2_83,97.4,[96.4 - 98.2%],0.0038,97.73,know
23,GCA_000209405,21673_4_8,97.3,[96.2 - 98.1%],0.004,97.71,know
23,GCA_000209405,21673_4_25,97.3,[96.2 - 98.1%],0.004,97.71,know
23,GCA_000209405,AF04-18B,96.3,[95 - 97.3%],0.0051,97.51,know
23,GCA_000209405,AM22-16,96.4,[95 - 97.3%],0.0051,97.51,know
23,GCA_000209405,AM28-7,97.1,[95.9 - 97.9%],0.0042,97.66,know
23,GCA_000209405,AM38-11BH,96.3,[95 - 97.3%],0.0051,97.5,know
23,GCA_000209405,GCA_000185545,96.4,[95.1 - 97.4%],0.005,97.52,know
23,GCA_000209405,GCA_000218445,96.3,[94.9 - 97.3%],0.0052,97.49,know
23,GCA_000209405,GF3HA19001,97,[95.9 - 97.9%],0.0043,97.65,know
22,GCA_000154065,12718_7_82,99.9,[99.9 - 100%],0.0002,98.27,know
22,GCA_000154065,18048_1_86,89.6,[87.3 - 91.6%],0.0125,95.67,know
22,GCA_000154065,18048_2_86,89.6,[87.3 - 91.6%],0.0125,95.66,know
22,GCA_000154065,20287_6_43,90.5,[88.2 - 92.3%],0.0116,95.95,know
22,GCA_000154065,20287_6_77,90.4,[88.2 - 92.3%],0.0116,95.94,know
22,GCA_000154065,21673_4_40,90.4,[88.1 - 92.3%],0.0117,95.94,know
22,GCA_000154065,AF05-5,88.9,[86.5 - 91%],0.0133,95.42,know
22,GCA_000154065,AF05-27,88.9,[86.5 - 90.9%],0.0133,95.41,know
22,GCA_000154065,AM11-12B,89.2,[86.8 - 91.2%],0.013,95.51,know
22,GCA_000154065,AM22-13AC,87.1,[84.6 - 89.3%],0.0153,94.72,know
22,GCA_000154065,AM22-15LB,87.1,[84.5 - 89.3%],0.0153,94.68,know
22,GCA_000154065,GCA_001404635,89.2,[86.8 - 91.2%],0.013,95.5,know
22,GCA_000154065,GCA_001405135,91.3,[89.2 - 93.1%],0.0107,96.23,know
22,GCA_000154065,GCA_001405975,88.4,[85.9 - 90.5%],0.0139,95.21,know
22,GCA_000154065,GCA_004167275,88.9,[86.5 - 91%],0.0133,95.43,know
22,GCA_000154065,GCA_006148965,87.3,[84.7 - 89.5%],0.0151,94.78,know
22,GCA_000154065,GCA_009875635,89,[86.6 - 91.1%],0.0132,95.46,know
22,GCA_000154065,GCA_009875675,88.9,[86.5 - 91%],0.0133,95.42,know
22,GCA_000154065,GCA_009875695,88.9,[86.5 - 90.9%],0.0133,95.41,know
22,GCA_000154065,GCA_009875705,88.3,[85.8 - 90.4%],0.014,95.18,know
22,GCA_000154065,GCA_009875715,88.3,[85.8 - 90.4%],0.014,95.18,know
22,GCA_000154065,GCA_009875725,88.9,[86.5 - 91%],0.0133,95.42,know
22,GCA_000154065,GCA_009875775,88.4,[85.9 - 90.5%],0.0139,95.21,know
22,GCA_000154065,GCA_013299835,86.7,[84.1 - 89%],0.0157,94.54,know
22,GCA_000154065,GCA_013299905,87.8,[85.3 - 89.9%],0.0145,94.98,know
22,GCA_000154065,GCA_013300055,88.9,[86.5 - 90.9%],0.0133,95.41,know
22,GCA_000154065,GCA_013300085,88.9,[86.5 - 90.9%],0.0133,95.41,know
22,GCA_000154065,GCA_013300125,88.9,[86.5 - 90.9%],0.0133,95.41,know
22,GCA_000154065,GCA_013300245,88.9,[86.5 - 90.9%],0.0133,95.41,know
22,GCA_000154065,GCA_013300365,88.4,[86 - 90.5%],0.0138,95.24,know
22,GCA_000154065,GCA_013300385,88.4,[86 - 90.5%],0.0138,95.24,know
22,GCA_000154065,GCA_013300405,88.9,[86.5 - 90.9%],0.0133,95.41,know
22,GCA_000154065,GCA_013300695,88.4,[86 - 90.5%],0.0138,95.24,know
22,GCA_000154065,GCA_013301235,87.6,[85.1 - 89.8%],0.0148,94.9,know
22,GCA_000154065,GCA_013301265,88.1,[85.6 - 90.3%],0.0142,95.12,know
22,GCA_000154065,GCA_013301275,90.2,[87.9 - 92.1%],0.0119,95.86,know
22,GCA_000154065,GCA_013301305,90,[87.7 - 92%],0.0121,95.81,know
22,GCA_000154065,GCA_013301315,88.1,[85.6 - 90.2%],0.0142,95.11,know
22,GCA_000154065,GCA_013301325,88.1,[85.6 - 90.2%],0.0142,95.12,know
22,GCA_000154065,GCA_015552885,88.6,[86.1 - 90.6%],0.0137,95.29,know
22,GCA_000154065,GCA_015553305,90.4,[88.1 - 92.2%],0.0117,95.91,know
22,GCA_000154065,GCA_015555015,87.2,[84.6 - 89.4%],0.0152,94.74,know
22,GCA_000154065,GCA_015556385,89.3,[86.9 - 91.3%],0.0129,95.54,know
22,GCA_000154065,GCA_015558615,89.3,[86.9 - 91.3%],0.0129,95.55,know
24,AF51-3-b8A,12718_7_92,75.3,[72.3 - 78.1%],0.0291,86.13,novel
24,AF51-3-b8A,AF12-19,81.8,[79 - 84.4%],0.0212,91.9,novel
24,AF51-3-b8A,AF12-28,82,[79.2 - 84.6%],0.021,92.02,novel
24,AF51-3-b8A,AF50-8-r,81.2,[78.3 - 83.8%],0.022,91.46,novel
24,AF51-3-b8A,AF91-09b3A,82.9,[80 - 85.4%],0.02,92.54,novel
24,AF51-3-b8A,AM30-24,81.4,[78.5 - 84%],0.0217,91.62,novel
24,AF51-3-b8A,AM46-1BH,80.4,[77.5 - 83%],0.0229,90.89,novel
26,OF09-6,12718_7_94,83.1,[80.3 - 85.6%],0.0197,92.7,novel
25,OF27-8pH10A,12718_7_93,84,[81.3 - 86.5%],0.0187,93.23,know
25,OF27-8pH10A,14207_7_13,90.8,[88.6 - 92.7%],0.0112,96.07,know
25,OF27-8pH10A,21673_4_37,86.1,[83.4 - 88.3%],0.0164,94.24,know
25,OF27-8pH10A,AM67-14ACA,85.5,[82.8 - 87.8%],0.017,93.98,know
25,OF27-8pH10A,AM100_B13A,87.6,[85 - 89.7%],0.0148,94.9,know
25,OF27-8pH10A,GCA_013300195,84.8,[82.1 - 87.2%],0.0178,93.65,know
25,OF27-8pH10A,GCA_013300965,83.8,[81 - 86.2%],0.019,93.09,know
25,OF27-8pH10A,GCA_013301165,84,[81.2 - 86.4%],0.0188,93.18,know
25,OF27-8pH10A,GCA_013301175,83.7,[80.9 - 86.1%],0.0191,93.03,know
25,OF27-8pH10A,GCA_013301195,84.1,[81.3 - 86.5%],0.0187,93.24,know
25,OF27-8pH10A,GCA_013301225,83.7,[80.9 - 86.2%],0.0191,93.04,know
28,13414_6_15,OF03-15BH,81.6,[78.8 - 84.2%],0.0214,91.77,novel
29,21673_4_30,13414_6_1,86.4,[83.8 - 88.6%],0.0161,94.39,novel
29,21673_4_30,13470_2_91,80.2,[77.3 - 82.8%],0.0231,90.75,novel
29,21673_4_30,AF36-15AT,83.4,[80.6 - 85.9%],0.0194,92.88,novel
29,21673_4_30,AM18-3AC,81.4,[78.5 - 84%],0.0217,91.6,novel
29,21673_4_30,AM58-8,82.3,[79.5 - 84.9%],0.0206,92.22,novel
29,21673_4_30,AM65-8A,84.1,[81.3 - 86.5%],0.0187,93.24,novel
31,GCA_001487105,13414_6_31,98.7,[98.1 - 99.2%],0.0021,98,know
31,GCA_001487105,AF18-22,84.5,[81.7 - 86.9%],0.0182,93.46,know
31,GCA_001487105,AM78-01pH3A,86.3,[83.7 - 88.6%],0.0161,94.36,know
34,21673_4_60,13414_6_66,86.4,[83.8 - 88.7%],0.016,94.41,novel
32,GCA_013300105,13414_6_3,79.6,[76.7 - 82.3%],0.0238,90.29,novel
32,GCA_013300105,AF15-31,80.9,[78 - 83.5%],0.0223,91.27,novel
32,GCA_013300105,AF17-2,87.9,[85.3 - 90%],0.0145,95.01,novel
32,GCA_013300105,AF17-13,87.5,[85 - 89.7%],0.0148,94.89,novel
32,GCA_013300105,AF17-21AC,87.6,[85.1 - 89.8%],0.0147,94.92,novel
32,GCA_013300105,AF23-6LB,91.2,[89.1 - 93%],0.0108,96.19,novel
32,GCA_013300105,AF52-12b2,78.7,[75.8 - 81.4%],0.0249,89.54,novel
32,GCA_013300105,AF63-7pH9-A,87.9,[85.4 - 90.1%],0.0144,95.04,novel
32,GCA_013300105,AM46-21,90.9,[88.7 - 92.8%],0.0111,96.11,novel
32,GCA_013300105,AM54-14XD,87.5,[85 - 89.7%],0.0148,94.87,novel
32,GCA_013300105,AM54-37XD,87.5,[84.9 - 89.6%],0.0149,94.86,novel
32,GCA_013300105,GCA_013299605,100,[100 - 100%],0.0001,98.29,novel
32,GCA_013300105,GCA_013301405,79.7,[76.7 - 82.3%],0.0237,90.34,novel
32,GCA_013300105,GCA_014287735,86.7,[84.1 - 89%],0.0157,94.54,novel
32,GCA_013300105,OF10-22XD,82.1,[79.2 - 84.6%],0.0209,92.07,novel
32,GCA_013300105,OF27-16pH10A,92.4,[90.4 - 94%],0.0095,96.53,novel
32,GCA_013300105,OM05-9,86.8,[84.2 - 89.1%],0.0156,94.58,novel
32,GCA_013300105,OM15-82A,81,[78.1 - 83.6%],0.0222,91.33,novel
27,GCA_000332875,13154_4_45,99.7,[99.5 - 99.8%],0.0007,98.21,know
27,GCA_000332875,13670_3_12,87.8,[85.3 - 89.9%],0.0145,94.98,know
27,GCA_000332875,AM10-38,88.1,[85.6 - 90.2%],0.0142,95.11,know
27,GCA_000332875,AM21-21,87,[84.4 - 89.2%],0.0154,94.65,know
27,GCA_000332875,AM23-7LB,87.9,[85.3 - 90%],0.0145,95.01,know
27,GCA_000332875,AM25-27,88.7,[86.3 - 90.8%],0.0135,95.35,know
27,GCA_000332875,AM26-1LB,87,[84.4 - 89.2%],0.0154,94.66,know
27,GCA_000332875,AM100_B11A,86.2,[83.5 - 88.5%],0.0163,94.29,know
27,GCA_000332875,GCA_000185525,87.9,[85.3 - 90%],0.0145,95.01,know
27,GCA_000332875,GCA_000210695,87.7,[85.2 - 89.9%],0.0146,94.95,know
27,GCA_000332875,GCA_000876135,88.1,[85.6 - 90.2%],0.0142,95.11,know
27,GCA_000332875,GCA_001404835,87.2,[84.6 - 89.4%],0.0152,94.75,know
27,GCA_000332875,GCA_001404955,88.7,[86.3 - 90.8%],0.0135,95.34,know
27,GCA_000332875,GCA_001405635,87.7,[85.2 - 89.9%],0.0146,94.95,know
27,GCA_000332875,GCA_001405715,88.4,[86 - 90.5%],0.0138,95.24,know
27,GCA_000332875,GCA_001998765,86.2,[83.5 - 88.5%],0.0163,94.3,know
27,GCA_000332875,GCA_008416325,88.1,[85.6 - 90.2%],0.0142,95.1,know
27,GCA_000332875,GCA_013302355,88.6,[86.1 - 90.7%],0.0137,95.3,know
27,GCA_000332875,GCA_013302445,88.6,[86.1 - 90.6%],0.0137,95.29,know
27,GCA_000332875,GCA_013302455,88.6,[86.2 - 90.7%],0.0136,95.32,know
27,GCA_000332875,GCA_013302465,88.6,[86.1 - 90.6%],0.0137,95.29,know
27,GCA_000332875,GCA_013302475,87.1,[84.6 - 89.3%],0.0153,94.71,know
27,GCA_000332875,GCA_013302525,88.5,[86.1 - 90.6%],0.0137,95.27,know
27,GCA_000332875,GCA_013302545,88.6,[86.1 - 90.7%],0.0136,95.3,know
27,GCA_000332875,GCA_013302555,88.6,[86.1 - 90.7%],0.0137,95.3,know
27,GCA_000332875,GCA_013302565,88.4,[86 - 90.5%],0.0138,95.24,know
27,GCA_000332875,GCA_013302595,87.8,[85.2 - 89.9%],0.0146,94.97,know
27,GCA_000332875,GCA_013302605,87.9,[85.4 - 90.1%],0.0144,95.05,know
27,GCA_000332875,GCA_013302645,89.2,[86.8 - 91.2%],0.0129,95.53,know
27,GCA_000332875,GCA_013302665,89.2,[86.8 - 91.2%],0.013,95.52,know
27,GCA_000332875,GCA_013302675,88.7,[86.3 - 90.8%],0.0135,95.35,know
27,GCA_000332875,GCA_013302685,89.2,[86.8 - 91.2%],0.013,95.53,know
27,GCA_000332875,GCA_013302715,88.9,[86.5 - 90.9%],0.0133,95.41,know
27,GCA_000332875,GCA_013302745,87.8,[85.2 - 89.9%],0.0146,94.97,know
27,GCA_000332875,GCA_013302755,88.9,[86.5 - 90.9%],0.0133,95.42,know
27,GCA_000332875,GCA_013302785,87.7,[85.2 - 89.8%],0.0146,94.94,know
27,GCA_000332875,GCA_013302795,88.9,[86.5 - 90.9%],0.0133,95.41,know
27,GCA_000332875,GCA_013302815,88.9,[86.5 - 90.9%],0.0133,95.42,know
27,GCA_000332875,GCA_013302845,87.9,[85.3 - 90%],0.0145,95.01,know
27,GCA_000332875,GCA_013302855,88,[85.5 - 90.1%],0.0143,95.08,know
27,GCA_000332875,GCA_013303175,88,[85.5 - 90.1%],0.0143,95.08,know
27,GCA_000332875,GCA_013303185,87.9,[85.4 - 90.1%],0.0144,95.05,know
27,GCA_000332875,GCA_013303225,88.6,[86.2 - 90.7%],0.0136,95.31,know
27,GCA_000332875,GCA_013304505,88.9,[86.4 - 90.9%],0.0134,95.39,know
27,GCA_000332875,GCA_013304555,88.5,[86 - 90.6%],0.0138,95.26,know
27,GCA_000332875,GCA_015554695,89.1,[86.7 - 91.1%],0.0131,95.49,know
27,GCA_000332875,GCF_000154545,87.3,[84.7 - 89.4%],0.0151,94.77,know
27,GCA_000332875,OM02-26,87.1,[84.5 - 89.3%],0.0153,94.71,know
27,GCA_000332875,TF10-8AT,88.8,[86.3 - 90.8%],0.0134,95.37,know
35,20287_6_17,13414_6_67,83.4,[80.6 - 85.9%],0.0194,92.87,know
35,20287_6_17,AF22-6AC,76.1,[73.1 - 78.8%],0.0281,86.96,know
35,20287_6_17,AM59-13,72.8,[69.8 - 75.7%],0.0323,82.91,know
35,20287_6_17,GCA_014337175,73.1,[70 - 75.9%],0.032,83.22,know
35,20287_6_17,OM08-11AC,73.1,[70.1 - 75.9%],0.0319,83.27,know
36,OM04-12BH,13414_6_68,83.9,[81.1 - 86.3%],0.0189,93.12,novel
36,OM04-12BH,GCA_014384925,89.8,[87.5 - 91.7%],0.0123,95.73,novel
37,13470_2_93,13414_6_69,82.7,[79.9 - 85.2%],0.0202,92.47,novel
38,AF88-01pH10A,13414_6_70,80.5,[77.6 - 83.1%],0.0228,90.94,novel
38,AF88-01pH10A,AF02-12,87,[84.5 - 89.2%],0.0154,94.67,novel
38,AF88-01pH10A,AF12-17LB,88.3,[85.8 - 90.4%],0.0139,95.2,novel
38,AF88-01pH10A,AF15-21,83.3,[80.5 - 85.8%],0.0195,92.82,novel
38,AF88-01pH10A,AF20-18LB,85.9,[83.2 - 88.2%],0.0167,94.14,novel
38,AF88-01pH10A,AF22-2LB,91.2,[89.1 - 93%],0.0108,96.2,novel
38,AF88-01pH10A,AF22-8AC,91.2,[89.1 - 93%],0.0108,96.19,novel
38,AF88-01pH10A,AF25-13LB,82.6,[79.7 - 85.1%],0.0204,92.36,novel
38,AF88-01pH10A,AF25-15LB,82.6,[79.7 - 85.1%],0.0204,92.37,novel
38,AF88-01pH10A,AF25-18LB,82.4,[79.6 - 85%],0.0205,92.29,novel
38,AF88-01pH10A,AF25-25LB,82.4,[79.6 - 85%],0.0205,92.29,novel
38,AF88-01pH10A,AF34-16,86.1,[83.4 - 88.4%],0.0164,94.25,novel
38,AF88-01pH10A,AF42-8,84.9,[82.2 - 87.3%],0.0177,93.69,novel
38,AF88-01pH10A,AF54-6pH10A,83.8,[81 - 86.2%],0.019,93.07,novel
38,AF88-01pH10A,AF75-08pH9A,90.1,[87.8 - 92%],0.012,95.83,novel
38,AF88-01pH10A,OM03-7AC,85.4,[82.7 - 87.7%],0.0172,93.91,novel
38,AF88-01pH10A,OM03-18,85.3,[82.6 - 87.7%],0.0173,93.88,novel
38,AF88-01pH10A,OM04-10AA,83.7,[80.9 - 86.1%],0.0191,93.01,novel
38,AF88-01pH10A,OM04-10BH,83.6,[80.8 - 86%],0.0192,92.96,novel
38,AF88-01pH10A,OM04-15AA,83.6,[80.8 - 86%],0.0192,92.96,novel
